tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
44.0,-1.046971454514885e-07,6.656820884792437e-07,-1.6803598265324224e-07,1.4911192521412937e-06,,,,
45.0,-9.833387237052043e-08,1.2141209640448781e-06,-1.5378233340854007e-07,9.690189439043739e-07,-9.833387237052043e-08,1.2141209640448781e-06,-1.5378233340854007e-07,9.690189439043739e-07
46.0,-8.564668829305641e-08,7.325652833868121e-07,-1.4365638872926663e-07,1.0098327639675848e-06,,,,
47.0,-7.852035621488838e-08,9.859411317370764e-07,-1.338328224442569e-07,1.7069741438906755e-06,,,,
48.0,-6.802950389594787e-08,1.0430860091078273e-06,-1.1566985806497745e-07,1.4803282760168559e-06,,,,
49.0,-5.798264553675017e-08,1.1462580687044846e-06,-1.0141154342515446e-07,2.0275876688930887e-06,,,,
50.0,-4.694593417949895e-08,1.2968607232904348e-06,-8.188897650583352e-08,1.5946779789982877e-06,-4.694593417949895e-08,1.2968607232904348e-06,-8.188897650583352e-08,1.5946779789982877e-06
51.0,-3.3582116414380495e-08,1.0903289327937103e-07,-6.545622816003614e-08,-3.521188137819478e-07,,,,
52.0,-3.253336248360403e-08,5.580849278574951e-07,-6.884315094037506e-08,6.595854729612569e-07,,,,
53.0,-2.6877282843688775e-08,6.153878356290557e-07,-6.215838348262953e-08,2.0816709167552315e-07,,,,
54.0,-2.0931629526270887e-08,4.7489062257426056e-07,-6.014714879851748e-08,4.303432144868633e-07,,,,
55.0,-1.589209830499186e-08,4.42114398649315e-07,-5.558035391527467e-08,1.6867183612311413e-07,-1.589209830499186e-08,4.42114398649315e-07,-5.558035391527467e-08,1.6867183612311413e-07
56.0,-1.1781216040433267e-08,7.221671219497662e-07,-5.401200404526955e-08,1.0331028424222839e-06,,,,
57.0,-4.114421907306321e-09,1.0663962450872928e-06,-4.304420092815272e-08,1.5096109056772447e-07,,,,
58.0,6.119830866168993e-09,1.3186729863036395e-06,-4.159542054567573e-08,2.416165606384516e-06,,,,
59.0,2.0230291140499353e-08,1.3438314309010904e-06,-1.5741240503163133e-08,1.4285931372355933e-06,,,,
60.0,3.334460226454783e-08,1.3205210873996518e-06,-1.7997487054712858e-09,2.3661713462401715e-06,3.334460226454783e-08,1.3205210873996518e-06,-1.7997487054712858e-09,2.3661713462401715e-06
61.0,4.6964753859219906e-08,1.2441813110982482e-06,2.260547491592693e-08,1.4825052920628324e-06,,,,
62.0,5.9014682225934856e-08,7.592139307971198e-07,3.696357723854114e-08,9.7579182430154e-07,,,,
63.0,6.761367662676764e-08,2.0019760052133336e-07,4.8015572062631886e-08,-6.460152497662018e-07,,,,
64.0,6.933643183791208e-08,-1.2311605555130195e-07,4.245643381564322e-08,1.3170104387298944e-08,,,,
65.0,6.814917262240808e-08,-4.823562322915963e-07,4.258343859769989e-08,-3.4313000628317394e-06,6.814917262240808e-08,-4.823562322915963e-07,4.258343859769989e-08,-3.4313000628317394e-06
