tick,tick_dt,input_force,output_angle,output_speed,output_ang_vel,output_position
59.0,0.009722954011522233,-7.736035809338896e-06,-5.788817427003773e-09,-5.787571124433311e-08,5.336433930710167e-07,-9.031749839230235e-08
60.0,0.009511680924333632,-2.2055610650249264e-05,-7.129717447335094e-10,-4.770449901015646e-07,-1.4195489554795133e-06,-9.086799369092732e-08
61.0,0.010705043911002576,1.8708688874535456e-05,-1.5909305646959538e-08,-7.93696944197376e-08,-3.48621013781132e-07,-9.597478125748836e-08
62.0,0.009085208992473781,3.6015037736733965e-06,-1.9076600416329205e-08,-2.178355313276271e-08,6.034528019075055e-07,-9.669587151896047e-08
63.0,0.011104553006589413,-2.1561392694811116e-05,-1.237552679057241e-08,-5.029154871639309e-07,-2.1069148082368393e-06,-9.693776813939508e-08
64.0,0.009628807893022895,3.871959386047351e-05,-3.2662604726050105e-08,2.1942404042861032e-07,1.8128716512763913e-06,-1.0178024475172259e-07
65.0,0.00971526897046715,-4.654115334819587e-05,-1.5050069024965037e-08,-6.837284872399507e-07,-1.8990872346621502e-06,-9.964848118037198e-08
66.0,0.00977943406905979,2.6306826198572514e-05,-3.362206742773661e-08,-3.818257674656044e-07,-8.941264939306423e-07,-1.0633495884247306e-07
67.0,0.010383846936747432,9.949350012275042e-06,-4.290654008280303e-08,-2.655714038159486e-07,-6.31027313327485e-07,-1.1029977916834202e-07
68.0,0.009322482044808567,7.4127454044008585e-06,-4.87892808810823e-08,-1.2594097745314743e-07,1.2561208063827405e-07,-1.1277556381203081e-07
69.0,0.010409476002678275,-8.893430805207252e-06,-4.7481724942031695e-08,-3.141288760003298e-07,-1.2793708305094357e-06,-1.140865433945832e-07
70.0,0.010268331039696932,2.4761941076393376e-05,-6.061872815223457e-08,1.783114685813867e-07,1.0123442558988501e-06,-1.173121226824825e-07
71.0,0.010331477969884872,-2.241608599585382e-05,-5.015971577447611e-08,4.863370226030888e-07,1.0846817037954836e-06,-1.1546990167305608e-07
72.0,0.009092504973523319,-1.448243231231106e-05,-4.029724198802593e-08,-2.1925126971852114e-07,-5.625200116914461e-07,-1.1104787987622898e-07
73.0,0.010093982913531363,6.754456280098706e-06,-4.597530937455885e-08,-1.2525837859368303e-07,-1.274748148087841e-06,-1.1326099844653779e-07
74.0,0.010453141992911696,3.134177673896034e-05,-5.930043277172228e-08,5.10583513915058e-07,1.5244978179921994e-06,-1.1457034206377945e-07
75.0,0.010290738078765571,-2.5211317408678723e-05,-4.3612225025114927e-08,-2.8872279109507392e-09,1.7322917380034676e-07,-1.0931606085474382e-07
76.0,0.00929807499051094,-6.228395585908279e-06,-4.200152717657505e-08,5.532021974894514e-07,1.2033149367644883e-06,-1.0934290651637454e-07
77.0,0.01038827293086797,-1.6111476240781886e-05,-2.9501163191675413e-08,2.9617548246732043e-07,-4.616914046827508e-07,-1.035960911028982e-07
78.0,0.0096784180495888,2.166112994198303e-05,-3.3969605616096954e-08,7.010931849035165e-07,1.7668486170834792e-06,-1.007295809675408e-07
79.0,0.01036056992597878,-2.7536225627878233e-05,-1.5664046970184664e-08,1.3047821666870782e-07,-1.8446645193295713e-07,-9.346585600072075e-08
80.0,0.009725288022309542,6.5656367069195655e-06,-1.745803634568619e-08,2.533297279233902e-07,6.160869508369537e-07,-9.219691776298026e-08
81.0,0.010629285941831768,-1.189059242703718e-05,-1.090947198020896e-08,-4.650744019920024e-11,-3.7777156110484296e-07,-8.95042036473161e-08
82.0,0.009395257104188204,7.099634924298477e-06,-1.4458732923439503e-08,1.2771679661831296e-07,5.573266387339658e-07,-8.950464059667404e-08
83.0,0.010516732931137085,-1.494149668000432e-05,-8.597477508466064e-09,-1.8776066887009844e-07,-1.265896833137533e-06,-8.816147715581888e-08
84.0,0.00940564600750804,2.583081369073878e-05,-2.0504055002983174e-08,2.846001387202762e-07,1.0639554271559276e-06,-8.992748754134396e-08
85.0,0.010572601924650371,-2.32419080622741e-05,-9.255277806092207e-09,-2.0811635886761686e-07,-1.169804375197233e-06,-8.69185235669542e-08
86.0,0.009452922968193889,2.2458355638231715e-05,-2.031334845268783e-08,2.043327067804605e-07,9.504438256503526e-07,-8.888583147575077e-08
87.0,0.012364211026579142,-2.28250234374542e-05,-8.561860423437679e-09,-3.630475313021762e-07,-1.5908925490271722e-06,-8.635941876948504e-08
88.0,0.009258668054826558,2.8993292108799922e-05,-2.329140644577715e-08,1.5496339586108068e-07,1.887367631905534e-06,-8.972075534993614e-08
89.0,0.009636825998313725,-5.14541563009889e-05,-5.103172982254092e-09,-8.368144728725648e-07,-3.3147084528516264e-06,-8.82274000679151e-08
90.0,0.009357795002870262,6.124935525851703e-05,-3.6121535178320855e-08,2.4599123865408036e-07,4.4557509086784685e-07,-9.60581383604915e-08
91.0,0.009108726982958615,-5.226117497719928e-06,-3.206291332519866e-08,6.823826119153739e-07,1.595076337559329e-06,-9.381747132739167e-08
92.0,0.010415937984362245,-2.3066953695011383e-05,-1.5448697112857033e-08,2.785029676544381e-07,8.623456686604406e-08,-8.6709816360074e-08
93.0,0.009430830948986113,4.449589327858825e-06,-1.4635433490784332e-08,3.54886878724642e-07,1.2348536152229897e-06,-8.408330195333405e-08
94.0,0.010472586029209197,-2.6006076878506417e-05,-1.7033227718815807e-09,-1.8984918747571187e-07,-1.0290235563968397e-06,-8.036671858525271e-08
95.0,0.010500974953174591,1.852261232071954e-05,-1.2509073363831437e-08,1.8704791491082186e-07,8.87543501285795e-07,-8.236032014781571e-08
96.0,0.009333685040473938,-2.2179494613029898e-05,-4.2250218631103504e-09,-9.319425873403754e-08,-3.3073634184741334e-07,-8.061447382256073e-08
97.0,0.01064593403134495,2.0790848369038356e-06,-7.746019140186265e-09,-3.25175233736547e-08,-1.1070555804573452e-06,-8.160661375314338e-08
98.0,0.009373775916174054,2.7130285584471225e-05,-1.8123310078143417e-08,4.605248294664481e-07,1.4662600284491383e-06,-8.191142573059697e-08
99.0,0.010459790006279945,-2.8344016083837236e-05,-2.786538085963374e-09,-1.333621403491466e-07,-1.183929826750824e-06,-7.709443272170004e-08
100.0,0.009158891974948347,2.537395707297182e-05,-1.3630023475093482e-08,3.196922536900011e-07,1.0373234124704097e-06,-7.831588215870578e-08
101.0,0.01047123409807682,-2.1346817973361803e-05,-2.7679671876999217e-09,-1.2880430858918196e-07,-1.263314795918619e-06,-7.496830973097601e-08
102.0,0.010485066915862262,2.7958928738181896e-05,-1.6013907358705517e-08,4.39478192782167e-07,1.575716912652813e-06,-7.631883152558496e-08
103.0,0.009324406972154975,-3.220704488344042e-05,-1.321281592223117e-09,-5.319285962089699e-08,-2.611291228469163e-07,-7.222095800069685e-08
104.0,0.010410735034383833,1.6496619601438784e-06,-4.039827699943429e-09,-8.543397658640682e-09,-1.04774654805515e-06,-7.277473476793118e-08
105.0,0.010373921017162502,2.634843191121992e-05,-1.490906763547221e-08,5.222533776785071e-07,1.4911821420808159e-06,-7.286336330046012e-08
106.0,0.009146299911662936,-2.669061742013383e-05,-1.2702685410850969e-09,1.0985819504103244e-07,1.0573741233917444e-07,-6.808667727833353e-08
107.0,0.010682599036954343,-2.8389436064199226e-06,-1.4071816186058767e-10,5.994488794163679e-08,-1.086489896330806e-06,-6.691310622978666e-08
108.0,0.009430033969692886,2.9827322386136142e-05,-1.0386354791988192e-08,6.046409513161022e-07,1.8919466317402148e-06,-6.634782390018759e-08
109.0,0.01048471499234438,-3.5477981367357847e-05,9.450166422533888e-09,-1.3934282674037992e-07,-1.1520745819861606e-06,-6.000833585293828e-08
110.0,0.009268390014767647,2.376462137418759e-05,-1.2277101294142544e-09,2.9060475245575116e-07,9.598263597853953e-07,-6.129981951692832e-08
111.0,0.010453919996507466,-2.0649021213090615e-05,8.80623784632126e-09,-1.4181592995560006e-07,-1.2045751689059064e-06,-5.826186068415104e-08
112.0,0.010460771038196981,2.5372604690799434e-05,-3.794547193900883e-09,3.7344909423975066e-07,1.335652452885471e-06,-5.974536465698555e-08
113.0,0.010815744986757636,-2.8141807821566015e-05,1.065152912744569e-08,-5.01177227594026e-08,-2.5987378908510213e-07,-5.570623448815279e-08
114.0,0.009067302104085684,1.253559348995548e-06,8.295174972877623e-09,-5.691231452823018e-08,1.8539974183320235e-09,-5.61606670211811e-08
115.0,0.00912148505449295,-6.322391604504479e-06,8.312086182620007e-09,-1.735075093668525e-07,-1.665765036768209e-06,-5.667979184756696e-08
116.0,0.010371385025791824,3.773520235721006e-05,-8.964204376205363e-09,-2.8495598984558387e-07,-8.090403522875695e-07,-5.8479305032076766e-08
117.0,0.01037338504102081,1.081898091691892e-05,-1.7356691464207445e-08,-7.023309872580496e-08,5.9863302940645e-07,-6.143526323449023e-08
118.0,0.009258352918550372,-2.1357889927189692e-05,-1.1814335609261588e-08,-3.6427579408841385e-08,-2.3517873326717754e-07,-6.208550604905712e-08
119.0,0.01077054301276803,3.3306480589273503e-06,-1.4347338271604022e-08,1.0273158374104989e-07,-8.760288375528081e-07,-6.247785085993106e-08
120.0,0.009330647997558117,2.7218619321668977e-05,-2.2521254990519298e-08,5.940578403544374e-07,1.8083305588507466e-06,-6.151929861381166e-08
121.0,0.010443178936839104,-3.17237100741706e-05,-3.636535387486695e-09,-6.955473855515179e-08,-1.2120389691437201e-06,-5.531544628815807e-08
122.0,0.01048564095981419,2.98514236675312e-05,-1.6345540847231056e-08,5.392701937458553e-07,1.5451075286411663e-06,-5.604477230370113e-08
123.0,0.008888620999641716,-2.650080973871448e-05,-2.6116656214466705e-09,5.665929748122483e-08,-3.1332612081543295e-08,-5.125140393509086e-08
124.0,0.010739321005530655,3.2944106501193953e-07,-2.948156600532132e-09,5.828096710877554e-08,-1.5013897650676053e-06,-5.064292155149214e-08
125.0,0.009227150003425777,4.305412236891363e-05,-1.680170517641911e-08,8.28818786238223e-07,2.5298734299461826e-06,-5.010515432563474e-08
