tick,tick_dt,input_force,output_position,output_speed,output_angle,output_ang_vel
106.0,0.01018814998678863,3.256929611415097e-06,-3.882674081350225e-07,3.851457625435288e-07,-2.2555758251437437e-07,-8.436924360071495e-07
107.0,0.010412459960207343,4.2851411372857504e-05,-3.8425709330369447e-07,1.2395657687114987e-06,-2.3434249622302861e-07,2.4945152733719633e-06
108.0,0.010320184985175729,-2.1627931843287986e-05,-3.7146454526930024e-07,4.5920464272718153e-07,-2.0859863715348375e-07,5.758403762241677e-07
109.0,0.009387354017235339,3.3625365166646823e-06,-3.6715382872166214e-07,3.212999290423718e-07,-2.031930196844495e-07,2.728643536811672e-07
110.0,0.010304184979759157,6.749380534832328e-06,-3.6384309481882607e-07,4.2858462270864145e-07,-2.0038137490973631e-07,-5.313209926585218e-07
111.0,0.010321590933017433,3.3793496819261146e-05,-3.594194196630459e-07,9.857577701052854e-07,-2.0586545285008234e-07,1.749053315960478e-06
112.0,0.009176636929623783,-1.1177951143705346e-05,-3.503734785062341e-07,1.2499836241175437e-07,-1.8981502559895848e-07,-3.0730114245112966e-07
113.0,0.010633621015585959,1.5821477086488862e-05,-3.4904429329277865e-07,3.4501348350108884e-07,-1.930827494854404e-07,-9.529267302811459e-07
114.0,0.00950688892044127,4.296400539217998e-05,-3.457642884290793e-07,1.1365467280726453e-06,-2.0214211805954257e-07,2.222278030595958e-06
115.0,0.01043557096272707,-1.9081233758785307e-05,-3.3390377439582196e-07,7.295905971726819e-07,-1.7895137797234908e-07,-1.3434253179131506e-07
116.0,0.010329275974072516,3.237936808533856e-05,-3.2636763176953696e-07,1.116971852941312e-06,-1.8033903905827718e-07,1.8813673232652501e-06
117.0,0.0093381890328601,-1.1384456684853303e-05,-3.15937137462387e-07,3.372539922446062e-07,-1.6277047535338026e-07,6.600659249694266e-08
118.0,0.010366811999119818,1.1469392671615255e-05,-3.1244088872883453e-07,5.010775441232821e-07,-1.6208619741826194e-07,-7.208812707265046e-07
119.0,0.010502550983801484,4.0324171845378966e-05,-3.0717829627484174e-07,1.1796571568731621e-06,-1.6965728971733466e-07,1.9667068613788494e-06
120.0,0.00947513000573963,-1.1749827790199064e-05,-2.960008913512673e-07,3.9319004253222514e-07,-1.5102248652258992e-07,4.618618970109977e-08
121.0,0.010385330999270082,1.3822657737143077e-05,-2.919174826139531e-07,6.161894265724049e-07,-1.505428276549489e-07,-5.376655149869895e-07
122.0,0.009187766001559794,3.899754652572903e-05,-2.8625607834997055e-07,1.0060863570679062e-06,-1.554827725937575e-07,1.4622594755058265e-06
123.0,0.0102894629817456,-3.904375828188417e-06,-2.7590399002248105e-07,8.804128707534656e-07,-1.4043690785083357e-07,-2.400089168113059e-07
124.0,0.009776751976460218,3.9670834112443284e-05,-2.672964117482411e-07,1.3425077379972473e-06,-1.427834155026366e-07,2.207579098827116e-06
125.0,0.010624602902680635,-1.3722698845808406e-05,-2.5303280013824433e-07,5.812115536718257e-07,-1.193287642013409e-07,2.4751069378384624e-07
126.0,0.009160637040622532,1.3513704186205306e-05,-2.477085320512404e-07,7.022339792204759e-07,-1.1706140857191443e-07,6.871491196801491e-07
127.0,0.010447236942127347,5.19917215699945e-06,-2.4037212728151115e-07,7.782067872756772e-07,-1.0988259890404168e-07,-7.605089686113019e-07
128.0,0.010302777984179556,4.9464925180493305e-05,-2.323544355264282e-07,1.5804240706494564e-06,-1.177179539626213e-07,2.705826376792276e-06
129.0,0.009350780979730189,-2.0501038480837243e-05,-2.175762361866915e-07,4.377914850740348e-07,-9.241636414405984e-08,3.761475271397234e-08
130.0,0.010892022983171046,1.3242488176985028e-05,-2.1280780126942853e-07,5.91200430945278e-07,-9.200666339299296e-08,-8.567040229099012e-07
131.0,0.012644185102544725,4.493791211884966e-05,-2.0533255358785222e-07,1.698126585121201e-06,-1.0283898763676046e-07,3.170399820059334e-06
132.0,0.018224369967356324,-2.9907761553833758e-05,-1.7438526644920004e-07,6.092717776908323e-07,-4.506044837155924e-08,1.703522783873604e-06
133.0,0.008907568990252912,-2.9907761553833758e-05,-1.6895813605560492e-07,7.722478083856615e-08,-2.988620164773741e-08,1.0494321621545908e-06
134.0,0.009145729942247272,-3.3760272044682315e-05,-1.6825185906520617e-07,-5.468386774343473e-07,-2.0288378499962875e-08,-7.673089420628079e-06
135.0,0.01029781496617943,0.000195238434474052,-1.7388310258177536e-07,9.770025214409112e-07,-9.930443357253975e-08,1.0257315017548497e-06
136.0,0.010942909982986748,7.479923884690876e-06,-1.631918519364964e-07,9.815859111257853e-07,-8.807994608212262e-08,1.4934763715003795e-06
137.0,0.009800233994610608,-6.6223643558581866e-06,-1.5357208032165064e-07,7.230052257736845e-07,-7.344352817599689e-08,5.908533358186206e-07
138.0,0.009239505976438522,8.97494907338633e-06,-1.468918692171184e-07,8.910183088577394e-07,-6.798433524850211e-08,-2.5795826616171524e-07
139.0,0.010497866082005203,3.939247404391072e-05,-1.3753807833411513e-07,1.3783799267842685e-06,-7.069234658141405e-08,1.049555116920991e-06
140.0,0.010321276960894465,2.003102872809662e-05,-1.2331143735243726e-07,1.5040996668383074e-06,-5.985959753394853e-08,2.365275191531438e-06
141.0,0.009299466968514025,-1.3999689300353517e-05,-1.0932411218332148e-07,5.399513075887625e-07,-3.786379901885624e-08,1.3637106151931625e-07
142.0,0.010384090943261981,1.3830938704210044e-05,-1.0371720870038655e-07,7.369206474259033e-07,-3.644770951401048e-08,-7.986218780618523e-07
143.0,0.009294060058891773,4.821232648100024e-05,-9.68682239445728e-08,1.276801922558071e-06,-4.387014921306228e-08,1.8048753521390653e-06
144.0,0.01039805298205465,-6.378545773807101e-06,-8.359196990622473e-08,1.0998380437561949e-06,-2.510295967551573e-08,-3.1000824322307284e-08
145.0,0.010300463065505028,3.893555888544367e-05,-7.226312875847674e-08,1.4839012833317695e-06,-2.5422282521447867e-08,2.2717764136427395e-06
146.0,0.009108786936849356,-1.3174505129151519e-05,-5.8746588133290326e-08,2.96712640063451e-07,-4.729155201416403e-09,-4.514060480522014e-07
147.0,0.010548678925260901,2.1020649514528003e-05,-5.5616661760194476e-08,5.781420571679322e-07,-9.490892667239971e-09,-1.2288908625990478e-06
148.0,0.010584418894723058,5.448959884356244e-05,-4.949736404647216e-08,1.658854069675733e-06,-2.249798833288585e-08,2.7324797985520345e-06
149.0,0.0094806490233168,-1.9221737383869857e-05,-3.377035083097582e-08,2.2586873198502584e-07,3.4076936004893846e-09,-6.714968222445018e-07
150.0,0.010377591010183096,2.5298766171426542e-05,-3.142637750844656e-08,6.445330115694055e-07,-3.5608257854016737e-09,-8.937808294316076e-07
151.0,0.009098657057620585,4.7872209732418924e-05,-2.5561992673861136e-08,1.0871726540776548e-06,-1.1693031037075551e-08,1.3319209569839494e-06
152.0,0.01028629601933062,7.304299067445094e-07,-1.437901292989705e-08,1.0443887420500058e-06,2.007502200811478e-09,-3.3392554683768024e-07
153.0,0.01047375495545566,4.646156324893451e-05,-3.440341167428699e-09,1.6356716932971089e-06,-1.4899521501329168e-09,2.6259243389355772e-06
154.0,0.010348554002121091,-1.6821303468505716e-05,1.3486495680397277e-08,5.561484935831958e-07,2.568456767682603e-08,4.995854236605536e-08
155.0,0.00912617496214807,1.6438147281562174e-05,1.8562004137772604e-08,4.2421000223685976e-07,2.614049807531254e-08,-1.540709306209817e-07
156.0,0.010387868038378656,1.7804991286655006e-05,2.296864166156942e-08,7.193099392342175e-07,2.4540029579471587e-08,-1.0306901932529495e-06
157.0,0.010426811990328133,5.434015843866961e-05,3.046875116073896e-08,1.5998131999510707e-06,1.3793216714148113e-08,2.5775460802679184e-06
158.0,0.00951979507226497,-1.6584485186796327e-05,4.569864497817761e-08,2.4320293391068695e-07,3.8330927187618527e-08,-6.166149941512017e-07
159.0,0.009698624955490232,2.4758683790009064e-05,4.805737902225224e-08,7.006904522301444e-07,3.235060961741422e-08,-5.192207918401066e-07
160.0,0.010494810063391924,3.9361014248415115e-05,5.54109922316398e-08,-8.291340123856153e-07,2.6901486026088347e-08,-3.0469380217879517e-06
161.0,0.010228927014395595,5.8220020739466834e-05,4.6929840933794366e-08,4.066631490581087e-07,-4.265420616167504e-09,1.220091036387351e-07
162.0,0.009393336018547416,1.4401887115762242e-05,5.0749764539257814e-08,8.793092910574674e-07,-3.119348108367089e-09,9.258796522956803e-07
163.0,0.01037096104118973,8.324538762089405e-06,5.986904693997096e-08,1.070265171703017e-06,6.4829136944217055e-09,-1.3284352783326639e-07
164.0,0.009233821067027748,4.530415253044989e-05,6.975168402974835e-08,1.3278020463310893e-06,5.256260328496603e-09,1.9022729067550676e-06
165.0,0.010421016020700336,-3.6120806808530968e-06,8.358873042688332e-08,1.1773875213563553e-06,2.5079876765535358e-08,5.4989110188645665e-08
166.0,0.010360406013205647,4.290169660812109e-05,9.5786943183017e-08,1.627121384062428e-06,2.564958627339463e-08,2.6353203938351056e-06
167.0,0.010317389038391411,-1.4925258215604413e-05,1.1257458751507495e-07,2.0520031286009034e-07,5.2839212017398284e-08,-6.23484574881742e-07
168.0,0.009366929065436125,2.5698958850577876e-05,1.1449668428984071e-07,1.5394799735801567e-07,4.699907623108741e-08,-7.361440140785486e-07
169.0,0.010504253907129169,2.7907966676006117e-05,1.1611379314258337e-07,6.599499473025647e-07,3.926643259499307e-08,-7.707414636011033e-07
170.0,0.009958285023458302,4.82577561593527e-05,1.226857628190386e-07,1.3361418566176041e-06,3.159116942105587e-08,2.005636875999069e-06
171.0,0.009368614060804248,-6.3877545206761545e-06,1.3520356020417538e-07,5.920725982904059e-07,5.038120725840825e-08,1.3158091268146674e-07
172.0,0.010282185045070946,1.9433617483579095e-05,1.4129136021991328e-07,9.272916272895735e-07,5.173414655099841e-08,-1.3217742120683922e-07
173.0,0.009378632996231318,3.9413151721157675e-05,1.499880880727403e-07,1.1713193142793221e-06,5.049450302711118e-08,1.6083665815928607e-06
174.0,0.011066667037084699,-1.524715477459662e-06,1.6295068891797595e-07,1.0458283531876176e-06,6.82937604591735e-08,7.931834717925206e-08
175.0,0.00999285897705704,3.686200224075657e-05,1.7340150416558762e-07,1.6968538447603172e-06,6.908637751682902e-08,2.929843415658674e-06
176.0,0.00930279993917793,-2.1624740770456662e-05,1.8918699600941773e-07,1.0271786610509646e-06,9.634212466581938e-08,6.4389311234432e-07
177.0,0.010159077006392181,1.8010573579055507e-05,1.996221831263573e-07,1.303521508101222e-06,1.0288348437801086e-07,5.22212463896681e-07
178.0,0.010366737958975136,3.137461480348015e-05,2.1313544902473074e-07,1.3447691684835779e-06,1.0829712415013852e-07,2.0687586118219094e-06
179.0,0.009121953044086695,-1.1803774697711893e-05,2.2540237023477343e-07,5.488942725986542e-07,1.2716824306672796e-07,2.1321605514803863e-07
180.0,0.011035130941309035,1.1579706690454977e-05,2.3145949040583417e-07,6.681602795539558e-07,1.2952111015407594e-07,-8.963749790971146e-07
181.0,0.009908174979500473,4.811836706480477e-05,2.380797393700067e-07,1.604385110569374e-06,1.2063967001393565e-07,3.0962668148185345e-06
182.0,0.010099171078763902,-3.2195576524012604e-05,2.5428269907786834e-07,9.446014610557981e-07,1.5190939828228742e-07,1.416828252997617e-07
183.0,0.009873306029476225,2.6718401012155483e-05,2.636090383787626e-07,-7.969224844928642e-07,1.5330827617559277e-07,-2.7287392965041943e-06
184.0,0.009304429986514151,4.713575434272584e-05,2.5619412891711985e-07,3.610838942876327e-07,1.279189124398196e-07,1.7438791294323563e-07
185.0,0.010866357013583183,7.5762963287710854e-06,2.601177954243042e-07,5.533750083921352e-07,1.2981387376071446e-07,-5.043939187349218e-07
186.0,0.008835515938699245,3.421173130296338e-05,2.650071491310307e-07,1.1505069639863303e-06,1.253572932523491e-07,1.9648895868534324e-06
187.0,0.010866189957596362,-1.4879760011809167e-05,2.7750877634924366e-07,8.291549458297714e-07,1.4670815674880153e-07,-1.030185858885299e-06
188.0,0.010324129019863904,5.843567512695059e-05,2.8606907898744847e-07,2.0113565799771923e-06,1.360723850272304e-07,4.221973712656497e-06
189.0,0.009882527985610068,-4.913576531667892e-05,3.0594636667811405e-07,2.408282502929394e-07,1.777961583970683e-07,-5.257732695085711e-08
190.0,0.010121355997398496,6.737892283971986e-06,3.0838387513355945e-07,3.6210505418436356e-07,1.7726400455360706e-07,-5.249363411930659e-07
191.0,0.009522665990516543,2.502146283886734e-05,3.1183208061803503e-07,-9.214576677702467e-07,1.7226521111014166e-07,-2.8268433539300445e-06
192.0,0.01004900608677417,4.5985558777858566e-05,3.025723469059071e-07,-9.459511517478195e-08,1.4385824504014153e-07,-1.1227158908363e-06
193.0,0.009743197937496006,2.9414682106192933e-05,3.01650687974839e-07,3.697691200306316e-07,1.3291940188815131e-07,2.0926751177762224e-07
