tick,tick_dt,input_force,output_ang_vel,output_position,output_speed,output_angle
40.0,0.009225126937963068,-4.7048579893274907e-05,-9.345283053274782e-07,-5.3738183086460435e-08,-7.800696652361635e-07,7.983427802506863e-08
41.0,0.010370234027504921,-1.3740670356570615e-05,-2.183229111117707e-06,-6.182768807271687e-08,-1.0138698238371852e-06,7.014300079349511e-08
42.0,0.010129739064723253,1.4648282293538168e-05,2.5473602282646157e-07,-7.20979248337845e-08,-7.314833322600818e-07,4.802745957936505e-08
43.0,0.010024129995144904,-4.371980053605418e-05,2.490992744950739e-06,-7.943040884564133e-08,8.03152209919197e-07,5.05809665866237e-08
44.0,0.010130962007679045,-5.361574824213597e-05,4.457296572229479e-07,-7.129370432056648e-08,-8.834141728686434e-08,7.581711944712378e-08
45.0,0.009573066025041044,-2.9192328647152855e-05,-2.856212990179171e-07,-7.213940254099933e-08,-4.0102205746698183e-07,8.008411888503797e-08
46.0,0.010480768978595734,-1.9889520129693783e-05,-9.980220058175504e-07,-7.634242208063192e-08,-7.197514549419793e-07,7.709058803466477e-08
47.0,0.011043646023608744,-1.0687161507356023e-05,-2.920859869619445e-07,-8.429110237398852e-08,-9.560200678589777e-07,6.606878627864376e-08
48.0,0.008486161008477211,-3.8852457375101985e-05,-1.3038205493349018e-06,-9.240404259717512e-08,-1.004724990179566e-06,6.359009756496471e-08
49.0,0.010051888995803893,-1.1477026854168234e-05,-3.4281326412504164e-06,-1.0250342666977027e-07,-1.1232467314643728e-06,5.048423813260223e-08
50.0,0.009681155905127525,4.674767665640297e-05,1.6776183445615802e-06,-1.1337775339700178e-07,-2.497971912121769e-07,1.7295951569200336e-08
51.0,0.010669062030501664,-6.621409225999593e-05,1.6479657039523093e-06,-1.1604285512508958e-07,2.946588096266349e-07,3.519456575083535e-08
52.0,0.009692099993117154,-4.789734939064188e-05,-7.977342602922975e-08,-1.1318699247833536e-07,-8.047348893200655e-07,5.1166814138768836e-08
