tick,tick_dt,input_force,output_angle,output_ang_vel,output_speed,output_position
84.0,0.009611378074623644,2.183901534536928e-05,0.0009206710902525064,0.003399802762974821,6.073272519112014e-06,3.6822117168135724e-06
85.0,0.010661529959179461,2.183901534536928e-05,0.0009569181892652636,0.0035485453636102835,-8.268228838903498e-07,3.7469620937263463e-06
86.0,0.009353752946481109,2.183901534536928e-05,0.0009901104059158552,0.003714943858920712,7.273001559274861e-06,3.739228196739939e-06
87.0,0.010549735045060515,2.183901534536928e-05,0.0010293020793347434,0.0038945516531433606,8.897532815794252e-06,3.815956436172601e-06
88.0,0.009853151976130903,2.183901534536928e-05,0.0010676756886520567,0.004062653379407559,8.84893279854926e-06,3.9036251792192335e-06
89.0,0.009559859987348318,2.183901534536928e-05,0.0011065140861363206,0.004225232686614751,4.666546909928409e-06,3.988219737810819e-06
90.0,0.010628307005390525,2.183901534536928e-05,0.0011514211562988733,0.004423108824705085,5.003963832033519e-06,4.0378172310245945e-06
91.0,0.00933112297207117,2.183901534536928e-05,0.0011926937286610496,0.004606262030638928,7.323246922285682e-06,4.0845098328890954e-06
92.0,0.010995154036208987,2.183901534536928e-05,0.0012433402892190655,0.004833231190297349,9.83438084157664e-06,4.16503006084482e-06
93.0,0.009631284978240728,2.183901534536928e-05,0.0012898905161785408,0.0050354797354329696,1.1521802546121309e-05,4.259747785314595e-06
94.0,0.009662581025622785,2.183901534536928e-05,0.0013385462471250434,0.005240434477686069,9.177174747947365e-06,4.371078135977719e-06
95.0,0.010565142030827701,2.183901534536928e-05,0.001393912181685043,0.005456576704163836,-1.2716917978185835e-07,4.468036290631508e-06
96.0,0.009436787921003997,2.183901534536928e-05,0.0014454047388169282,0.00569025572218726,6.518364290183117e-06,4.4668362220518186e-06
97.0,0.010607808013446629,2.183901534536928e-05,0.0015057658790653067,0.005955235751879026,9.407293675717479e-06,4.5359817790037874e-06
98.0,0.009932411019690335,2.183901534536928e-05,0.0015649157282721239,0.006205589824558927,1.014089723239806e-05,4.629418886373947e-06
99.0,0.009552656090818346,2.183901534536928e-05,0.0016241955937068172,0.00644691333031645,5.4821761385124256e-06,4.726291390087377e-06
100.0,0.009625267004594207,2.183901534536928e-05,0.0016862488558665907,0.006710487849713359,6.417010616180315e-06,4.779058799186774e-06
101.0,0.010406273999251425,2.183901534536928e-05,0.0017560800310993554,0.006989424563491903,-3.0154123499753023e-07,4.845835969914851e-06
102.0,0.010092166950926185,2.183901534536928e-05,0.0018266184706850202,0.007302513035951393,7.36599082727901e-06,4.842792765428668e-06
103.0,0.010402902960777283,2.183901534536928e-05,0.0019025858051678337,0.0076084542605461426,9.353207740675766e-07,4.9194204532148264e-06
104.0,0.009778041974641383,2.183901534536928e-05,0.001976981590289593,0.007916602351360021,-1.9535838960280582e-07,4.928566059003413e-06
105.0,0.009734764927998185,2.183901534536928e-05,0.00205404785320852,0.008253741404727264,6.180698465401671e-06,4.9266642910039175e-06
106.0,0.01046816201414913,2.183901534536928e-05,0.002140449355456096,0.008605438687809323,2.1521723350843023e-06,4.991364843900345e-06
107.0,0.009517694008536637,2.183901534536928e-05,0.002222353287695888,0.008951127958732031,4.760858408509776e-06,5.011848561639315e-06
108.0,0.009837670950219035,2.183901534536928e-05,0.0023104115391871997,0.009329301596003094,9.55671112357779e-06,5.058684320102818e-06
109.0,0.010545993922278285,2.183901534536928e-05,0.0024087982971177494,0.00971900644274387,1.1589167550742026e-06,5.1594693375290385e-06
110.0,0.009660524898208678,2.183901534536928e-05,0.002502689000843727,0.010125507768726932,9.299929598831743e-06,5.170665081696384e-06
111.0,0.010334478924050927,2.183901534536928e-05,0.0026073308474749497,0.010563210436225958,1.0027371283173291e-05,5.2667750081306685e-06
112.0,0.009996150038205087,2.183901534536928e-05,0.0027129222838805983,0.010989442012450243,5.9536959649838335e-06,5.367010115966058e-06
113.0,0.009655970032326877,2.183901534536928e-05,0.002819036006624812,0.01142033781620579,1.966192666882395e-06,5.424498825785527e-06
114.0,0.009720506030134857,2.183901534536928e-05,0.002930047469233417,0.011891782116846359,7.553159250304242e-06,5.443611213460365e-06
115.0,0.010939414030872285,2.183901534536928e-05,0.0030601365973745224,0.012413050322320294,-2.528603029747299e-07,5.526238349740556e-06
116.0,0.009577027056366205,2.183901534536928e-05,0.003179016716163419,0.012930322482401129,1.2539984267481805e-05,5.523816699777486e-06
117.0,0.009548397967591882,2.183901534536928e-05,0.0033024805810746858,0.01344443655779605,1.4070349183874719e-05,5.643553460070743e-06
118.0,0.009963928954675794,2.183901534536928e-05,0.0034364399917722116,0.013967924387577909,1.8227949670379011e-06,5.783749419706351e-06
119.0,0.010717010009102523,2.183901534536928e-05,0.003586134377240271,0.014590248100554211,3.564929022116704e-06,5.803284331612638e-06
120.0,0.010014021070674062,2.183901534536928e-05,0.003732241429145583,0.015209792659522707,1.191853480652394e-05,5.838983605955572e-06
121.0,0.009447047021239996,2.183901534536928e-05,0.0038759290555834052,0.01579566113134109,9.020811141402491e-06,5.951578564697089e-06
122.0,0.010359145002439618,2.183901534536928e-05,0.004039558599652367,0.01647755949870278,1.2430273291263116e-05,6.0450264553505e-06
123.0,0.009218291030265391,2.183901534536928e-05,0.004191453538579923,0.017092010640803047,9.904393866368562e-06,6.159612332135098e-06
