tick,tick_dt,input_force,output_speed,output_angle,output_ang_vel,output_position
74.0,0.009746353141963482,0.0,-2.688000786525236e-07,3.119754605855436e-07,1.5282696891325726e-06,-1.1895510756524089e-07
75.0,0.00946013256907463,0.0,-2.580697957860575e-07,3.264330944460362e-07,9.186113900323772e-07,-1.2149799194387146e-07
76.0,0.010242054238915443,0.0,-2.4533962280369435e-07,3.358415621272333e-07,1.0282047441738717e-06,-1.2414115678973809e-07
77.0,0.010401775129139423,0.0,-2.3653040790047602e-07,3.465367166628443e-07,1.8240264546449282e-06,-1.2669312437641001e-07
78.0,0.009644001722335815,0.0,-2.040020873958868e-07,3.6412763093302606e-07,1.5871480540462807e-06,-1.28974224037587e-07
79.0,0.010476681403815746,0.0,-1.881308820973092e-07,3.8075567543595506e-07,1.1516549629399942e-06,-1.3111148891294708e-07
80.0,0.009693576022982597,0.0,-1.793631558166341e-07,3.919193303714591e-07,2.104317053581032e-06,-1.3293514992082813e-07
81.0,0.010120646096765995,0.0,-1.65021847164511e-07,4.1321637854614205e-07,1.3828555238168795e-06,-1.3475042094364738e-07
82.0,0.009587780572474003,0.0,-1.520967791844704e-07,4.264748938719319e-07,1.9574268255515276e-06,-1.3633261420392504e-07
83.0,0.010640846565365791,0.0,-1.350420462319552e-07,4.473035723855567e-07,1.742068742841729e-06,-1.3795105269431332e-07
84.0,0.0097587238997221,0.0,-1.2304545339797475e-07,4.6430394026128515e-07,2.653858330012914e-06,-1.3926889073834448e-07
85.0,0.00942598469555378,0.0,-1.067669368065765e-07,4.893191682641548e-07,1.757811775866684e-06,-1.4042871529893126e-07
86.0,0.010131183080375195,0.0,-8.752690003046698e-08,5.071278811862996e-07,1.9207924534763132e-06,-1.4151039068264954e-07
87.0,0.010406848043203354,0.0,-7.132740677129794e-08,5.271172763721594e-07,2.7445449593764865e-06,-1.4242126983095925e-07
88.0,0.009670039638876915,0.0,-4.88283095402959e-08,5.536571349200098e-07,2.6889463800910348e-06,-1.43111008681776e-07
89.0,0.010527772828936577,0.0,-2.6360776935111048e-08,5.819657515587996e-07,2.2209973803646424e-06,-1.4362506203223723e-07
90.0,0.009662039577960968,0.0,-9.497889568767334e-09,6.034251161504304e-07,3.2041774972209563e-06,-1.4387976090229009e-07
91.0,0.01043462660163641,0.0,1.390830883060656e-08,6.36859511899297e-07,2.4202667742545007e-06,-1.4397886783344375e-07
92.0,0.009680724702775478,0.0,3.3117213178386234e-08,6.602894482481292e-07,3.419532497653285e-06,-1.4384422532457347e-07
