tick,tick_dt,input_force,output_position,output_ang_vel,output_angle,output_speed
20.0,0.00955924205482006,0.00010197929163470897,1.77470234520246e-07,-0.07628140446380047,3.7924559690743473e-07,-7.653385728841213e-05
21.0,0.01035960204899311,0.00010197929163470897,-6.153900702621345e-07,0.11965627632488338,-0.0007898657483863522,0.00012636034102007769
22.0,0.009758793981745839,0.00010197929163470897,6.177344652159515e-07,0.0002994530298472164,0.00037783520089103675,0.00012097404643893076
23.0,0.009761404944583774,0.00010197929163470897,1.7986111202912372e-06,0.000209256669303655,0.00038075828317725793,4.8404007852092883e-05
24.0,0.010600839043036103,0.00010197929163470897,2.3117342165691298e-06,0.00017100622471156863,0.0003829765794472278,1.6565493384159145e-08
25.0,0.00975177704822272,0.00010197929163470897,2.311895759567306e-06,0.0002398397559901643,0.0003846441940244733,4.027909270512007e-06
26.0,0.010271196020767093,0.00010197929163470897,2.3532672052385998e-06,0.00030442887165756333,0.00038710763517182126,4.020654659176311e-06
27.0,0.009675202891230583,0.00010197929163470897,2.3921678548217022e-06,0.00036068778983384676,0.00039005304627105655,2.134344366504195e-06
28.0,0.009512501070275903,0.00010197929163470897,2.412470807892411e-06,0.0004222957938014915,0.00039348408925788644,2.5490800836323988e-06
29.0,0.010681836982257664,0.00010197929163470897,2.439699665800492e-06,0.0004902360197454573,0.0003979949840855671,2.2968886516219403e-06
30.0,0.009506779024377465,0.00010197929163470897,2.461535678655062e-06,0.0005576941001906609,0.0004026555495950775,5.220513185932776e-06
31.0,0.010802392032928765,2.2072483096732185,2.517929708702582e-06,0.07650992679859905,0.00040867997989978844,0.046168301406414675
32.0,0.009627870982512832,2.2072483096732185,0.0004470203791314288,0.14408433637862597,0.001145307683998201,0.08716678792941585
33.0,0.009591666981577873,2.2072483096732185,0.0012830951808042075,0.21169809988046526,0.0025273166558036275,0.12806237057874942
34.0,0.009646499995142221,2.2072483096732185,0.002518448837970015,0.28014294261023537,0.0045694623752721535,0.16926786533400953
35.0,0.01049791497644037,2.2072483096732185,0.004295408496490005,0.3553180438117471,0.0075103791680442185,0.2142286981068693
36.0,0.010373156983405352,2.2072483096732185,0.006517636412303113,0.4304517864151631,0.011196149015539971,0.25880079995379307
37.0,0.009616093011572957,2.2072483096732185,0.009006288976128273,0.500983056450667,0.015335413430705916,0.30026983527296874
38.0,0.00960514903999865,2.2072483096732185,0.011890425496140982,0.572453548597018,0.02014743035442863,0.3418636943637487
39.0,0.01060235791373998,2.2072483096732185,0.015514986741498859,0.6527548363545783,0.026216787765644758,0.388011913360795
40.0,0.009477372979745269,2.2072483096732185,0.01919232036500372,0.725810450802965,0.03240318881410968,0.42947398463526093
41.0,0.010003680014051497,-0.06354752607299884,0.02348864068165454,0.7303037718886206,0.03966396431479701,0.42833157024362056
42.0,0.010780281038023531,-0.06354752607299884,0.028106175386338687,0.7370288743611865,0.047536844218884974,0.4274142841508105
43.0,0.009679258917458355,-0.06354752607299884,0.0322432289076545,0.7445971491333027,0.054670737523469785,0.4268452354343299
