tick,tick_dt,input_force,output_ang_vel,output_position,output_speed,output_angle
110.0,0.00977570004761219,3.424806106322367e-05,-1.602107977183005e-06,2.828446383602678e-07,-1.7601707254569365e-07,2.9439520065683067e-08
111.0,0.010392268188297749,5.278103445795444e-05,-2.649831391279789e-07,2.810154217366539e-07,4.6333549963637765e-07,1.278998430018607e-08
112.0,0.009880292229354382,3.9080510769669946e-05,2.7682617863596793e-07,2.855933118732952e-07,6.68197234507099e-07,1.017187344974997e-08
113.0,0.009270464070141315,3.1380451121229214e-05,5.589868848941561e-08,2.917878103275611e-07,6.095066875959412e-07,1.2738180592469231e-08
114.0,0.011136687360703945,3.570558410819114e-05,2.1530721266580526e-07,2.985756957515753e-07,1.2108765007261167e-06,1.3360706810049232e-08
115.0,0.010089530609548092,5.3197353242369795e-05,3.5408494651037486e-06,3.10792871270034e-07,2.03183615387612e-06,1.5533055522697357e-08
116.0,0.008945134468376637,-1.2955292291987882e-05,1.1182027797033043e-06,3.2896791888416505e-07,1.1633712331748836e-06,4.7206430120329875e-08
117.0,0.010560617782175541,2.30496249149522e-05,6.638366020223582e-08,3.412538378165032e-07,1.5254718833634487e-06,5.901534227974271e-08
118.0,0.00977644044905901,6.5951938639155e-05,3.976788258086102e-06,3.5616752284091986e-07,2.228962809146477e-06,5.966433818050044e-08
119.0,0.009832643903791904,-2.1067519058522855e-05,8.848772168277893e-07,3.780841204180528e-07,1.0127511664376164e-06,9.876668100304197e-08
120.0,0.009919347241520882,2.105908664191112e-05,-1.6702586054971016e-06,3.8812995090720283e-07,-2.3527097296490737e-07,1.0754408538286738e-07
121.0,0.01021525077521801,4.939383344059133e-05,-1.9221097478170917e-06,3.8572659891823675e-07,-3.4978795242332837e-07,9.048197486824856e-08
122.0,0.010307973250746727,5.442449107223397e-05,-2.2898276111463473e-07,3.8212099406122364e-07,3.966920818933707e-07,7.066891900275044e-08
123.0,0.010075142607092857,3.4565142556091035e-05,-2.8266479081779827e-07,3.8611772335740393e-07,3.754094793136024e-07,6.836188502995463e-08
124.0,0.009765236638486385,3.585191450801511e-05,9.52228398821621e-07,3.897836857592322e-07,8.713638881241743e-07,6.560159645825057e-08
125.0,0.010397286154329777,1.8585642748621348e-05,4.784257628777464e-07,3.9884350544860866e-07,7.806809602693663e-07,7.550218760507822e-08
126.0,0.00975803378969431,2.8372957548898448e-05,5.478923434005678e-07,4.0646141663788813e-07,7.283717547747169e-07,8.017068236509954e-08
127.0,0.009968308731913567,2.4348490400182493e-05,4.5371720848014174e-07,4.1372205116108815e-07,7.547109662198486e-07,8.563224239596801e-08
128.0,0.010291787795722485,2.780095050828408e-05,-3.1196276846470864e-06,4.214893762725275e-07,-9.023891424576178e-07,9.03018036249132e-08
