tick,tick_dt,input_force,output_ang_vel,output_angle,output_position,output_speed
37.0,0.010762237943708897,1.0379675747133587e-05,2.21195115906327e-07,-3.6765106872415037e-08,-8.269180593680318e-08,-2.0251731528392176e-07
38.0,0.00982323195785284,-1.4136484866405088e-05,-9.724693481497804e-08,-3.4592255940923044e-08,-8.468118050031876e-08,-4.807822550447715e-07
39.0,0.009530143812298775,-1.5366823757499027e-05,-1.5185795855774074e-06,-3.551903321501503e-08,-8.926310453329674e-08,-7.354641365733086e-07
40.0,0.010055135935544968,1.6429491668798965e-05,-7.909125679251589e-07,-5.07885573769394e-08,-9.665829640225957e-08,-4.0680511870188003e-07
41.0,0.010378890670835972,8.643508090231004e-06,-2.747559638729527e-08,-5.899735244962476e-08,-1.0088048225360283e-07,-2.3408129597384913e-07
42.0,0.009861139580607414,-6.4848160723342655e-06,-2.089338867306176e-07,-5.926829314066031e-08,-1.0318879058641043e-07,-3.6348851033370327e-07
43.0,0.010252299718558788,-6.0177826782495235e-06,-7.144860286327692e-07,-6.141034596878602e-08,-1.0691538373860401e-07,-3.7546161593639946e-07
44.0,0.009715363383293152,8.2353613943017e-06,-1.9770864742613264e-07,-6.835183736923936e-08,-1.1056312977390458e-07,-1.481862277576509e-07
45.0,0.009779399260878563,2.113157411265217e-06,-2.415845150660468e-07,-7.028530916974779e-08,-1.1201230206011014e-07,-1.0967071422672725e-07
46.0,0.009909878484904766,4.926177730430209e-06,-5.148185891975945e-07,-7.267938235788697e-08,-1.1309912551144972e-07,-2.679546855900663e-07
47.0,0.010638071224093437,7.327365511744536e-06,-1.1758294314958683e-06,-7.815605917725827e-08,-1.1594964654158641e-07,-5.463857675464426e-07
48.0,0.009520310908555984,1.6873206057003596e-05,2.3418807457203773e-07,-8.935032094052957e-08,-1.2115140892463855e-07,-1.9289272689165307e-07
49.0,0.010276447981595993,-1.0139199170773365e-05,-1.3363233885384857e-06,-8.69436993742799e-08,-1.2313366099856882e-07,-4.0579414575001076e-07
50.0,0.009909897111356258,2.7247505964101757e-05,6.69882707617003e-07,-1.0018652666219524e-07,-1.2715503923134213e-07,1.1925324323960502e-07
51.0,0.010002098977565765,-1.0510040753303797e-05,1.0074244456045388e-06,-9.348629351725022e-08,-1.2596225648906388e-07,3.068976660238828e-07
52.0,0.009652235545217991,-1.4214573508581997e-05,-8.144037771734866e-07,-8.376239547426457e-08,-1.2300000792832373e-07,-3.600276071825554e-07
53.0,0.010673071257770061,1.3415515084298298e-05,-4.352955588560622e-07,-9.245458502063428e-08,-1.268426082345476e-07,-1.1909115087463185e-07
54.0,0.010087265633046627,1.1973314493840311e-05,7.668855709610641e-07,-9.684552695170087e-08,-1.2804391230796525e-07,1.1123245814749732e-07
55.0,0.009495755657553673,-1.4058098436368172e-05,-4.4494314773274294e-07,-8.956336895255106e-08,-1.2698767606420755e-07,-1.583446791448217e-07
