tick,force_value,force_target
111.0,-1.8645082199742505e-05,-1.8645082199742505e-05
112.0,2.4274979465953068e-05,2.4274979465953068e-05
113.0,-8.382139745467706e-06,-8.382139745467706e-06
114.0,1.8535416541307355e-05,1.8535416541307355e-05
115.0,-1.649009181207356e-05,-1.649009181207356e-05
116.0,-2.6851819286650774e-06,-2.6851819286650774e-06
117.0,2.2701383437748548e-05,2.2701383437748548e-05
118.0,3.5496479483236414e-05,3.5496479483236414e-05
119.0,-2.6544442594941947e-07,-2.6544442594941947e-07
120.0,2.9624889714199033e-05,2.9624889714199033e-05
121.0,-9.750047689095585e-06,-9.750047689095585e-06
122.0,2.106894419042075e-05,2.106894419042075e-05
123.0,-1.2496749235971679e-05,-1.2496749235971679e-05
124.0,2.77052446190617e-05,2.77052446190617e-05
125.0,-1.6933825478580302e-05,-1.6933825478580302e-05
126.0,3.366894038439919e-06,3.366894038439919e-06
127.0,1.8067503772409247e-05,1.8067503772409247e-05
128.0,1.670675105818192e-06,1.670675105818192e-06
129.0,-9.900168763096508e-06,-9.900168763096508e-06
130.0,-9.856391200792514e-06,-9.856391200792514e-06
131.0,2.083709798833123e-05,2.083709798833123e-05
132.0,3.696107876354521e-05,3.696107876354521e-05
133.0,5.34387881013246e-06,5.34387881013246e-06
134.0,3.2874072929399435e-05,3.2874072929399435e-05
135.0,-1.13089256376583e-05,-1.13089256376583e-05
136.0,9.99184858069717e-06,9.99184858069717e-06
137.0,4.836844998579104e-05,4.836844998579104e-05
138.0,-4.326879570430244e-05,-4.326879570430244e-05
139.0,1.788272210263517e-05,1.788272210263517e-05
140.0,2.7107793260779014e-05,2.7107793260779014e-05
141.0,1.333863060162056e-05,1.333863060162056e-05
142.0,-7.662150254113063e-05,-7.662150254113063e-05
143.0,0.00011622045132023893,0.00011622045132023893
144.0,7.143491872426766e-05,7.143491872426766e-05
145.0,-1.3658129764184922e-05,-1.3658129764184922e-05
146.0,-8.769115716710157e-06,-8.769115716710157e-06
147.0,3.460884846924162e-05,3.460884846924162e-05
148.0,-6.678612513552729e-06,-6.678612513552729e-06
149.0,1.8989511369168077e-05,1.8989511369168077e-05
150.0,-4.621351655487595e-06,-4.621351655487595e-06
151.0,6.0340938564035385e-06,6.0340938564035385e-06
152.0,4.1746480863075354e-05,4.1746480863075354e-05
153.0,-1.4118033818149367e-05,-1.4118033818149367e-05
154.0,2.3014096215859153e-07,2.3014096215859153e-07
155.0,1.1036508869900515e-05,1.1036508869900515e-05
156.0,3.821419706098731e-05,3.821419706098731e-05
157.0,-1.9115036796604964e-05,-1.9115036796604964e-05
158.0,2.5452741289500865e-07,2.5452741289500865e-07
159.0,2.971615866460651e-05,2.971615866460651e-05
160.0,-5.679278840465597e-06,-5.679278840465597e-06
161.0,1.923066190254025e-05,1.923066190254025e-05
162.0,-6.7470312953751675e-06,-6.7470312953751675e-06
163.0,2.6214230108278796e-05,2.6214230108278796e-05
164.0,-8.752061582142374e-06,-8.752061582142374e-06
165.0,-4.531990732037809e-06,-4.531990732037809e-06
166.0,2.5038372910124214e-05,2.5038372910124214e-05
167.0,3.359435380588048e-05,3.359435380588048e-05
168.0,7.848186471995228e-06,7.848186471995228e-06
169.0,2.062011775377841e-05,2.062011775377841e-05
