seq,recv_timestamp,recv_size,process_time,send_timestamp,send_size
9933.0,1638445928.3186374,124.0,0.0011951923370361328,1638445928.3198326,74.0
9934.0,1638445928.3278728,124.0,0.0013248920440673828,1638445928.3291976,74.0
9935.0,1638445928.3381858,124.0,0.001108407974243164,1638445928.3392942,74.0
9936.0,1638445928.3485143,124.0,0.0012085437774658203,1638445928.3497229,74.0
9937.0,1638445928.3576815,124.0,0.0012943744659423828,1638445928.358976,74.0
9938.0,1638445928.3680615,124.0,0.0012209415435791016,1638445928.3692825,74.0
9939.0,1638445928.3784742,124.0,0.0012845993041992188,1638445928.3797588,74.0
9940.0,1638445928.387928,124.0,0.0013914108276367188,1638445928.3893194,74.0
9941.0,1638445928.398393,124.0,0.0011739730834960938,1638445928.399567,74.0
9942.0,1638445928.4086306,124.0,0.001157999038696289,1638445928.4097886,74.0
9943.0,1638445928.4178698,124.0,0.0011777877807617188,1638445928.4190476,74.0
9944.0,1638445928.4280736,124.0,0.0013012886047363281,1638445928.429375,74.0
9945.0,1638445928.4383914,124.0,0.001104116439819336,1638445928.4394956,74.0
9946.0,1638445928.4486272,124.0,0.0011601448059082031,1638445928.4497874,74.0
9947.0,1638445928.4578865,124.0,0.001094818115234375,1638445928.4589813,74.0
9948.0,1638445928.4681826,124.0,0.0010962486267089844,1638445928.4692788,74.0
9949.0,1638445928.4783816,124.0,0.0012619495391845703,1638445928.4796436,74.0
9950.0,1638445928.487986,124.0,0.00107574462890625,1638445928.4890618,74.0
9951.0,1638445928.4981859,124.0,0.00118255615234375,1638445928.4993684,74.0
9952.0,1638445928.508406,124.0,0.001256704330444336,1638445928.5096626,74.0
9953.0,1638445928.5177956,124.0,0.0013060569763183594,1638445928.5191016,74.0
9954.0,1638445928.5281744,124.0,0.0011997222900390625,1638445928.5293741,74.0
9955.0,1638445928.5386312,124.0,0.001102447509765625,1638445928.5397336,74.0
9956.0,1638445928.5478315,124.0,0.0012862682342529297,1638445928.5491178,74.0
9957.0,1638445928.5581734,124.0,0.0012385845184326172,1638445928.559412,74.0
