tick,tick_dt,input_force,output_ang_vel,output_speed,output_position,output_angle
69.0,0.00963633507490158,-2.350810943317063e-05,-8.920547805469632e-07,-5.796793491357331e-07,-1.9539003749266976e-07,-7.128871849592779e-08
70.0,0.010597826912999153,2.072083443744986e-06,-6.459333643784477e-07,-4.432079113582706e-07,-2.0153337889985027e-07,-8.074256065707795e-08
71.0,0.009589779190719128,6.551090123560536e-07,1.265368251722355e-07,-4.4477797913517933e-07,-2.057836449053559e-07,-8.693691899338559e-08
72.0,0.010657900013029575,-2.129192341111323e-05,-1.774783987628711e-06,-9.019701149122153e-07,-2.1052404413497598e-07,-8.55883021627337e-08
73.0,0.009495778940618038,1.67928066366428e-05,-1.712009671206615e-08,-5.968486732577884e-07,-2.1908895295722624e-07,-1.0244125857660452e-07
74.0,0.009958498179912567,-2.1567180829078798e-05,-2.081425632973051e-06,-1.03023039131987e-06,-2.2503266938354715e-07,-1.0261174902855156e-07
75.0,0.010368088260293007,2.221351023200171e-05,-4.6514910506978836e-07,-4.438388107347634e-07,-2.3571418900918775e-07,-1.241921536984524e-07
76.0,0.009737778455018997,-1.4177391786638498e-06,-2.305715418919465e-07,-4.868411297284629e-07,-2.40036193017862e-07,-1.2872167263217233e-07
77.0,0.009518206119537354,-9.483705126937244e-06,-8.624949007903277e-07,-4.907739489730655e-07,-2.446700472380859e-07,-1.3091630009319941e-07
78.0,0.010823342949151993,8.676273452360568e-06,-4.711888654148507e-07,-2.8510991363916655e-07,-2.49981861998331e-07,-1.4025137819634795e-07
79.0,0.009525464847683907,5.594227223033252e-06,6.341217510115891e-07,-1.918400101249254e-07,-2.526976664584271e-07,-1.4473967117047717e-07
80.0,0.0104509387165308,-2.2673000763831467e-05,-1.762281375510116e-06,-6.715627601847431e-07,-2.547025746476213e-07,-1.3811250361183584e-07
81.0,0.009231225587427616,2.847032753556753e-05,4.1391016766208987e-07,-1.6279796744905572e-07,-2.609019219830022e-07,-1.5438052053769195e-07
82.0,0.010362718254327774,-1.4568676518783444e-05,-1.4773770080105486e-06,-4.7204374539321156e-07,-2.62588951452054e-07,-1.5009128608760814e-07
83.0,0.010381144471466541,2.841385505019791e-05,1.0902863689434821e-06,9.543518681898874e-08,-2.674893057698331e-07,-1.6542815024658863e-07
84.0,0.00961248204112053,-2.3874962208574288e-05,-1.342930940686779e-07,-9.751238906999456e-08,-2.665719367504446e-07,-1.549477921054409e-07
85.0,0.010323680937290192,3.4219674375432047e-06,-4.1839862519300956e-07,-1.418251367009942e-08,-2.675786235426361e-07,-1.5633419116068742e-07
86.0,0.009532704949378967,1.4779712688226456e-05,7.782394034601109e-07,2.546300522725989e-07,-2.6771382126089366e-07,-1.6032266180587817e-07
87.0,0.01055693905800581,-9.682727456606073e-06,-3.6462907872770283e-07,4.336664274819318e-08,-2.65025707316715e-07,-1.52106835851011e-07
88.0,0.009484298527240753,1.495304677697762e-05,1.0874233023055692e-06,3.128216012065636e-07,-2.6461440513076693e-07,-1.555650868853773e-07
89.0,0.01049153134226799,-1.6917558917520085e-05,-8.054063059197191e-07,-4.8556296542849205e-08,-2.6133242749716984e-07,-1.4415635122692586e-07
90.0,0.009764499962329865,2.3661730042639953e-05,1.2139822160012985e-06,3.9626256085992357e-07,-2.618065554529334e-07,-1.5202074107073918e-07
91.0,0.00955070462077856,-1.7819178761600547e-05,-2.638450792634088e-07,5.159560396433336e-08,-2.58021968781887e-07,-1.4042635551083258e-07
92.0,0.010300291702151299,1.1348958623732126e-05,1.3264429570464201e-07,2.782886517798685e-07,-2.574905190105057e-07,-1.4314403679142293e-07
93.0,0.010419217869639397,8.429944400247417e-06,9.834992489526868e-07,4.4287926870313173e-07,-2.54590968916963e-07,-1.417619869753114e-07
94.0,0.009535260498523712,-1.0253786493113554e-05,2.55544147184394e-07,1.7965969446637696e-07,-2.50367999720483e-07,-1.323840654364451e-07
95.0,0.010455087758600712,4.283421832097694e-07,-4.724045059792346e-07,1.7617941544949469e-07,-2.484896418481536e-07,-1.297123289514355e-07
96.0,0.009434946812689304,2.1183804552266894e-05,1.2377624423857961e-06,5.612297456910735e-07,-2.4682739843389695e-07,-1.3416944033942434e-07
97.0,0.010373846627771854,-1.3785504235160015e-05,-4.1586938329549995e-07,2.6953466847373705e-07,-2.4100528712915433e-07,-1.2132908260049778e-07
98.0,0.009683962911367416,2.2365154043169147e-05,1.4602632610302144e-06,6.873182601299881e-07,-2.3839512339632694e-07,-1.2535634628430464e-07
99.0,0.010472087189555168,-1.622282775278052e-05,5.50062895629733e-09,3.429653765029402e-07,-2.3119746664927235e-07,-1.1006434209509207e-07
100.0,0.009558817371726036,1.2046106871027159e-05,1.015142398134752e-06,5.502960253857402e-07,-2.2791912325045548e-07,-1.1001176258746919e-07
101.0,0.01017566304653883,-9.509806910615253e-06,-2.3213190139599888e-07,3.51478123237246e-07,-2.2231949632028062e-07,-9.968201559979459e-08
102.0,0.010183089412748814,1.851845823208723e-05,9.907414155933196e-07,5.6359276659562e-07,-2.187403631647306e-07,-1.0204583550726143e-07
103.0,0.009330818429589272,-8.7382720576427e-06,-1.9148207848349515e-07,6.084435479877334e-08,-2.1348158139139698e-07,-9.280140724768591e-08
104.0,0.010614308528602123,6.499529694892265e-06,-7.00372041076222e-07,1.4510800654978436e-07,-2.1283576063733905e-07,-9.483385710640773e-08
105.0,0.01022616308182478,2.4575066558265658e-05,1.5726100597740716e-06,6.298900937026321e-07,-2.1135186249788245e-07,-1.0199597581640366e-07
106.0,0.009498928673565388,-2.2775600160254764e-05,9.295648385092088e-07,3.923617156530777e-07,-2.0536858142561572e-07,-8.705786502727835e-08
107.0,0.010340068489313126,-1.4180369338466872e-05,-8.889495462232735e-07,1.1313229569332248e-07,-2.013115344131785e-07,-7.744610093183583e-08
108.0,0.009493167512118816,2.748044515209578e-05,1.0751942609344159e-06,6.213659906648692e-07,-2.0023755057913123e-07,-8.588504788395537e-08
109.0,0.010649901814758778,-9.944714453093744e-06,-2.3667595775570916e-07,4.052410545253752e-07,-1.9362006378752004e-07,-7.443433457321172e-08
110.0,0.00953905750066042,1.9253384579246358e-05,1.531838741954205e-06,7.598160397878953e-07,-1.8975444606677422e-07,-7.669200014326731e-08
111.0,0.010203052312135696,-1.8645082199742505e-05,-4.775830394759152e-07,3.765424430559541e-07,-1.8200200326521854e-07,-6.106256932535242e-08
112.0,0.009380725212395191,2.4274979465953068e-05,9.745545969612246e-07,6.160798712126891e-07,-1.7846976207610667e-07,-6.554264458477646e-08
113.0,0.010289737023413181,-8.382139745467706e-06,-2.276317175046615e-07,4.205007626067549e-07,-1.7213046221590984e-07,-5.5514734067087033e-08
114.0,0.010613049380481243,1.8535416541307355e-05,1.4760364622914321e-06,8.010454689112369e-07,-1.6766766685783433e-07,-5.793060072552776e-08
115.0,0.009633000940084457,-1.649009181207356e-05,4.4872695952736176e-07,3.9497703544136007e-07,-1.59951195102762e-07,-4.371194009667546e-08
116.0,0.009865629486739635,-2.6851819286650774e-06,-5.099475923103584e-07,3.3737638105866065e-07,-1.5605449801532673e-07,-3.928496617326729e-08
117.0,0.010428309440612793,2.2701383437748548e-05,-2.153860282368204e-06,-6.467258652712105e-07,-1.5253623271569292e-07,-4.460285746437517e-08
118.0,0.009465094655752182,3.5496479483236414e-05,1.4324684030480898e-07,1.4590600198763492e-07,-1.5865755424680816e-07,-6.498934891225534e-08
119.0,0.010410623624920845,-2.6544442594941947e-07,-9.043910266038098e-07,1.356220996517615e-07,-1.5713858177549795e-07,-6.349805997238283e-08
120.0,0.009588944725692272,2.9624889714199033e-05,1.1860083945187991e-06,6.898672355630826e-07,-1.5583810895835488e-07,-7.217021553689885e-08
121.0,0.010610214434564114,-9.750047689095585e-06,-1.781352100542103e-07,4.792718252569924e-07,-1.485184696576506e-07,-5.958641214986128e-08
122.0,0.009481891058385372,2.106894419042075e-05,1.4580102194609633e-06,8.483647182663935e-07,-1.439740664232103e-07,-6.12754708052579e-08
123.0,0.01045888289809227,-1.2496749235971679e-05,-3.075959650900162e-07,5.819876690304544e-07,-1.3510111917998904e-07,-4.6026312655693874e-08
124.0,0.00990255456417799,2.77052446190617e-05,1.777618238278291e-06,9.981669446915198e-07,-1.2933795453173622e-07,-4.9072298483718745e-08
125.0,0.009500334970653057,-1.6933825478580302e-05,3.523332216442983e-07,4.5911423395649527e-07,-1.1985503420053346e-07,-3.218432977013282e-08
126.0,0.009927943348884583,3.366894038439919e-06,-9.215368915383757e-08,5.136299101905237e-07,-1.1529697409514683e-07,-2.8686385505718232e-08
127.0,0.009745869785547256,1.8067503772409247e-05,3.883784671379336e-07,4.3448367339475483e-07,-1.1029120387246765e-07,-2.958450336046933e-08
128.0,0.010687530040740967,1.670675105818192e-06,1.1640269310520933e-06,7.415089324856729e-07,-1.0564764656084972e-07,-2.5433696825755735e-08
129.0,0.009797610342502594,-9.900168763096508e-06,8.552682412027569e-07,5.216763246762839e-07,-9.838263097487003e-08,-1.4029014527128191e-08
130.0,0.009973923675715923,-9.856391200792514e-06,-4.7544551502693837e-07,3.2443905514582744e-07,-9.317947112912077e-08,-5.498634367108097e-09
131.0,0.010486660525202751,2.083709798833123e-05,-2.393889308195031e-06,-7.860088503643809e-07,-8.977718889668893e-08,-1.0484470081425784e-08
132.0,0.009491631761193275,3.696107876354521e-05,-1.7747862559226578e-07,5.0959883234798876e-08,-9.723769546538651e-08,-3.320638587187074e-08
133.0,0.0104579022154212,5.34387881013246e-06,-9.843909895629636e-07,1.5861150607680694e-07,-9.67047619896077e-08,-3.506243998364201e-08
134.0,0.010395810008049011,3.2874072929399435e-05,1.4215412209594705e-06,8.267775249403151e-07,-9.50558669073427e-08,-4.5295981684773934e-08
135.0,0.009074450470507145,-1.13089256376583e-05,-1.4918207939409377e-07,1.891452079914618e-07,-8.755331520714333e-08,-3.239627628339297e-08
136.0,0.01118241436779499,9.99184858069717e-06,-1.3146831907701136e-06,3.075217803094461e-07,-8.543821511570004e-08,-3.4064492111427017e-08
137.0,0.010374550707638264,4.836844998579104e-05,3.130435681179368e-06,1.282901424418084e-06,-8.224781481217649e-08,-4.770373953855123e-08
138.0,0.01045821700245142,-4.326879570430244e-05,-2.175790176281058e-07,3.7955323945994374e-07,-6.883095332285814e-08,-1.4964963872560575e-08
139.0,0.010784195736050606,1.788272210263517e-05,-1.4402103922563852e-06,-3.574642908101146e-07,-6.473777689627002e-08,-1.7311378586719672e-08
140.0,0.017723088152706623,2.7107793260779014e-05,-5.867212366660952e-07,-1.285268128334356e-07,-7.107314803374244e-08,-4.283635432712377e-08
141.0,0.010626104660332203,1.333863060162056e-05,2.8624954508907377e-06,1.2840388065946952e-07,-7.243888739856945e-08,-4.907091559437723e-08
142.0,0.009065467864274979,-7.662150254113063e-05,-5.630927855559864e-06,-1.2574291614090375e-06,-7.127484614480283e-08,-2.3121055072693936e-08
143.0,0.009686519391834736,0.00011622045132023893,-1.0877334974046184e-06,9.797003975266836e-07,-8.345495810064996e-08,-7.766514693959695e-08
144.0,0.010599715635180473,7.143491872426766e-05,2.4450703136858272e-06,1.4018271228843316e-06,-7.307041247919385e-08,-8.919481269894622e-08
145.0,0.009449057281017303,-1.3658129764184922e-05,1.779244812456619e-06,1.0590242313052892e-06,-5.982446769697612e-08,-6.609120324881389e-08
146.0,0.010217775590717793,-8.769115716710157e-06,-1.903247817467219e-08,8.606622220286138e-07,-4.900359575636626e-08,-4.7911279034183395e-08
147.0,0.009493149816989899,3.460884846924162e-05,1.618746140001109e-06,1.017186305778966e-06,-4.083320034082521e-08,-4.809195720088415e-08
148.0,0.010267903096973896,-6.678612513552729e-06,3.1726970156135045e-07,7.228165324055641e-07,-3.038882992151793e-08,-3.147082869675222e-08
149.0,0.010574474930763245,1.8989511369168077e-05,1.3313000448206009e-06,8.808407666085299e-07,-2.2745424620054077e-08,-2.811586819130098e-08
150.0,0.00929194875061512,-4.621351655487595e-06,4.8559420949347e-07,5.262636028049403e-07,-1.4560697359275083e-08,-1.5745496403136344e-08
151.0,0.010251256637275219,6.0340938564035385e-06,-6.438460179109391e-07,6.164954304509512e-07,-9.165834108064568e-09,-1.0767545540043995e-08
152.0,0.010070646181702614,4.1746480863075354e-05,2.0350995104358344e-06,1.185632195227715e-06,-2.957326755356587e-09,-1.7251490981923226e-08
153.0,0.010389717295765877,-1.4118033818149367e-05,8.044872104380912e-07,6.473874445562712e-07,9.361056569817668e-09,3.892617600256632e-09
154.0,0.00926696602255106,2.3014096215859153e-07,1.9197308111773133e-08,3.3266023232145664e-07,1.5360374021946792e-08,1.1347773244963309e-08
155.0,0.010484105907380581,1.1036508869900515e-05,-6.827317290986267e-07,5.165609093899249e-07,1.8848019128778774e-08,1.1549039856343754e-08
156.0,0.010291459038853645,3.821419706098731e-05,2.279274426839843e-06,1.2712086215385965e-06,2.4164184568838174e-08,4.522734231799514e-09
157.0,0.00952572375535965,-1.9115036796604964e-05,7.104229497998853e-07,6.033069721581068e-07,3.6273366733046374e-08,2.6234472784531557e-08
158.0,0.010272718034684658,2.5452741289500865e-07,-3.4802689669543866e-07,5.841304177214103e-07,4.247096914638595e-08,3.353244743319471e-08
159.0,0.009554983116686344,2.971615866460651e-05,1.2004467824544637e-06,8.256550557511425e-07,4.8052325425656966e-08,3.020705631111705e-08
160.0,0.010403495281934738,-5.679278840465597e-06,8.266044775459725e-08,6.466361029132302e-07,5.664202390266954e-08,4.26958987485958e-08
161.0,0.009420614689588547,1.923066190254025e-05,1.1881256088496975e-06,8.06481100861561e-07,6.273373347259221e-08,4.3474610976960726e-08
162.0,0.010074516758322716,-6.7470312953751675e-06,-1.6881319590972809e-07,6.574735786502959e-07,7.085864083849256e-08,5.5444402334309385e-08
163.0,0.010659881867468357,2.6214230108278796e-05,1.317225289504174e-06,8.636566819385887e-07,7.786723151788638e-08,5.364487360824189e-08
164.0,0.009662797674536705,-8.752061582142374e-06,8.683881024124103e-07,6.496936916207381e-07,8.621257129572067e-08,6.637295507250376e-08
