tick,tick_dt,input_force,output_angle,output_speed,output_ang_vel,output_position
16.0,0.009799944999997479,0.00020975589889296015,-2.0309009902635832e-08,9.443553458106147e-07,2.1209530507382013e-06,-1.2632164137935623e-07
17.0,0.011749815999991142,-3.206701333653601e-05,4.611798188157911e-09,-4.6213954459763306e-07,-1.053429123021735e-06,-1.152256398274735e-07
18.0,0.008179037000019207,-3.206701333653601e-05,-4.004237585934646e-09,-9.261563940065204e-07,-5.326900483882842e-07,-1.1900549626190957e-07
19.0,0.010409258999999338,-2.4486880345996208e-05,-9.549146266330477e-09,-1.440958822709488e-06,-5.408069050683088e-06,-1.2864609804162887e-07
20.0,0.0040005740000026435,-2.4486880345996208e-05,-3.118452670071221e-08,-1.482288510599743e-06,-1.8748213383319354e-06,-1.3441076044283486e-07
21.0,0.011558501000024535,-3.419917314576731e-06,-5.285465101468923e-08,-1.2799813576393191e-06,2.49918494893129e-07,-1.5154379367492688e-07
22.0,0.00879226000000699,-3.419917314576731e-06,-5.0657302628778416e-08,-1.3483289346519386e-06,1.2207184941377974e-06,-1.627977225664537e-07
23.0,0.010589444999993702,-8.757162485848866e-05,-3.773057127463108e-08,-3.200473203971419e-06,-7.945407076718311e-07,-1.770757776618505e-07
24.0,0.004642000000018243,-8.757162485848866e-05,-4.1418829239658215e-08,-1.60849163979503e-06,-3.3876282255463856e-06,-1.9193237427474422e-07
25.0,0.009821130000005951,3.374778347107548e-05,-7.468916643443875e-08,1.7239718270854524e-06,-3.2434235145644463e-06,-2.0772957977309396e-07
26.0,0.004799426000005269,3.374778347107548e-05,-9.025573757926782e-08,1.9781406139783324e-06,5.945034551684339e-06,-1.9945550456290346e-07
27.0,0.006577147999990984,-0.00010130156706825845,-5.115436546777987e-08,6.612055534132873e-07,2.6744314516573675e-06,-1.8644498097997493e-07
28.0,0.009171963000000005,-0.00010130156706825845,-2.6624579147142193e-08,-1.1844498596234092e-06,-5.785554111558659e-07,-1.8038042810867374e-07
29.0,0.011085906999994677,-3.336037523746397e-05,-3.3038390629559805e-08,-1.924382090999825e-06,-1.1360601047471501e-06,-1.935111290986156e-07
30.0,0.008815463000019008,-3.336037523746397e-05,-4.3053286448756024e-08,-2.044825069664716e-06,-3.1479780977707206e-06,-2.1047544821972378e-07
31.0,0.009647499999999809,1.0120768774159707e-05,-7.342340514699845e-08,-1.8131564293937205e-06,-4.67178205106912e-06,-2.3020289807931374e-07
32.0,0.01053896300001611,1.0120768774159707e-05,-1.226591433273553e-07,-1.4072293054869018e-06,-2.01360491644548e-06,-2.4931168660193547e-07
33.0,0.009529611000004934,7.568178587930427e-06,-1.4184801488877816e-07,-1.138358717395501e-06,-1.6161163053254549e-06,-2.627220344710327e-07
34.0,0.0048086490000116555,7.568178587930427e-06,-1.4961935094428393e-07,-5.596509231498993e-07,-1.3215464549080627e-06,-2.6819600197909113e-07
35.0,0.010785926000011159,2.03463516675435e-05,-1.6387345321249937e-07,5.940417277049123e-07,-1.531748305128477e-07,-2.742323554220239e-07
36.0,0.010376055999984146,2.03463516675435e-05,-1.6546280383168876e-07,1.0139820335296238e-06,5.33664000569318e-07,-2.680685451890304e-07
37.0,0.009380851999992501,2.5511966794067943e-05,-1.6045658082462409e-07,1.3614677385315577e-06,1.6778412871671768e-05,-2.5855652980183756e-07
38.0,0.004680703999980551,2.5511966794067943e-05,-8.192179658286488e-08,1.6421307245132535e-06,-8.867414778610377e-07,-2.521839023122484e-07
39.0,0.010983592999991743,8.044033944992696e-05,-9.16614040719017e-08,3.3738428366258237e-06,-1.1844192140804498e-05,-2.3414740678141328e-07
40.0,0.009316833000013958,8.044033944992696e-05,-2.0201176426785502e-07,3.3444321641082397e-06,7.383551698061001e-06,-2.0271387650427712e-07
41.0,0.00986900000000901,-8.040501430329217e-05,-1.2914349255962447e-07,1.6473887644218912e-06,8.957130063788755e-06,-1.6970767547666277e-07
42.0,0.004813592000004974,-8.040501430329217e-05,-8.602752294156687e-08,2.693055770599181e-07,3.1349744416278124e-07,-1.6177781809934347e-07
43.0,0.010841351999999915,1.5883949876610927e-06,-8.262878679829784e-08,-4.75292506981984e-07,-6.808011089635728e-06,-1.588581815428738e-07
44.0,0.00918783299999859,1.5883949876610927e-06,-1.4517965575200935e-07,-4.4626295674128486e-07,-6.760531431034918e-06,-1.6322508972317493e-07
45.0,0.009742536999993945,0.00018753424378753226,-2.1104438335848905e-07,3.0213306507900096e-06,1.884179677126342e-05,-1.6757282309095358e-07
46.0,0.006239962999984527,0.00018753424378753226,-9.347226865257738e-08,5.388419778444873e-06,4.591953407552604e-06,-1.4871983161930474e-07
47.0,0.00944574099997908,6.478642403420941e-05,-5.0097866080864105e-08,6.598135146059101e-06,2.2143202479320594e-06,-9.782221399294982e-08
48.0,0.004963721999985182,6.478642403420941e-05,-3.91065959511911e-08,5.436457829517073e-06,1.2109462056501586e-05,-6.507090540958082e-08
49.0,0.009840334000017492,-0.00015291557116217476,8.00545552453232e-08,6.573639067569355e-07,-1.586050163263596e-06,-1.1574344590122672e-08
50.0,0.004906277999992881,-0.00015291557116217476,7.227295222241791e-08,-7.898217914936119e-07,8.275671527859011e-07,-8.349134516411747e-09
51.0,0.01046181500001353,-6.164531275801194e-05,8.093080667495194e-08,-2.032666320907937e-06,-6.838309943538519e-06,-1.6612103981997175e-08
52.0,0.009803000000005113,-6.164531275801194e-05,1.3894854298408866e-08,-3.3010291883468158e-06,-4.1761965652928736e-08,-3.653833192586808e-08
53.0,0.010143073999984153,-0.0001221674048768707,1.3471259590406414e-08,7.105134472015266e-07,1.3328632009939537e-06,-7.002091525937746e-08
54.0,0.01007444400002555,-0.0001221674048768707,2.68991152685148e-08,-6.451947391760961e-07,-1.6982273402520556e-06,-6.286288732428057e-08
55.0,0.009297443999997768,1.902347545603117e-05,1.1109941673256157e-08,2.3897742013083906e-07,2.423171048182035e-07,-6.886154928086349e-08
56.0,0.009787203999991334,1.902347545603117e-05,1.3481548610799197e-08,6.404973728472179e-07,2.080566602661047e-07,-6.652262851865133e-08
57.0,0.012918999999982361,1.1769160025054428e-05,1.6169432604773335e-08,6.959860929793077e-07,1.2841633669535408e-06,-5.824804295884942e-08
58.0,0.011471445000012181,1.1769160025054428e-05,3.090064203981134e-08,9.810930857390037e-07,3.4486129109766103e-06,-5.026407677246393e-08
59.0,0.011330240999996022,-7.09052872466475e-05,6.997425743687416e-08,-6.184827538049348e-07,-1.955959996467806e-06,-3.9148055667611254e-08
60.0,0.010018777999988515,-7.09052872466475e-05,5.03779284554049e-08,-6.666217329893146e-07,-1.7053952568726036e-06,-4.5344497074804446e-08
