tick,tick_dt,input_force,output_speed,output_ang_vel,output_angle,output_position
67.0,0.012400348000028316,0.07303768664035218,0.0001173831726343143,-0.0011623849530737137,-0.0006961682548886923,-0.0007235107795933789
68.0,0.017291356999976415,0.0789152047625511,0.0004249756559336433,-0.000831964638221527,-0.0007162674680836908,-0.0007214810652495691
69.0,0.012020115999803238,0.0829882103612743,0.0007351030461842778,-0.00047332382661437693,-0.0007262677795428479,-0.0007163728085681543
70.0,0.018643104999910065,0.08531528355822059,0.0013018966402834255,0.00022680595262784378,-0.0007350920053413789,-0.0007026682052923871
71.0,0.011333074999811288,0.08740447601750623,0.0016941716199625415,0.0007520176675540046,-0.000732521596469844,-0.0006879137130260527
72.0,0.01777345699997568,0.08694651002872834,0.002293230703245592,0.0015184091909143578,-0.0007191556427923509,-0.0006578024265880693
73.0,0.013745135000135633,0.08659700480918595,0.002748623962276889,0.0021253144453347453,-0.0006982849034777864,-0.0006262816609855027
74.0,0.016696830999990198,0.0848530284994744,0.0032455514508098805,0.002754701729933153,-0.0006627988873621942,-0.000580388351204842
75.0,0.010192784000082611,0.08305566358843548,0.0035138147247962036,0.003095753296957965,-0.0006347208076443317,-0.0005473071463055821
76.0,0.009553019999884782,0.08146765295340905,0.0037358888596758437,0.003361091507354128,-0.000605147014483783,-0.0005137396039637144
77.0,0.011157670999864422,0.08024993282709132,0.003970132184526903,0.0036478461940260176,-0.0005676450612442873,-0.0004720557851753926
78.0,0.00863120600001821,0.07837894202192698,0.004120243357033805,0.0038222802343261955,-0.0005361597492872664,-0.00043778875644343864
79.0,0.011284964999958902,0.07700050286475568,0.00428727343321844,0.004003449636488701,-0.0004930254506228605,-0.00039129195436799895
80.0,0.010829530999899362,0.07536137661507758,0.004414283561718825,0.004139192529373857,-0.00044966996867797034,-0.0003448627938179149
81.0,0.008110680000072534,0.07355789453767697,0.004481184109245174,0.004191739799008978,-0.00041609830261352815,-0.0003090599524192331
82.0,0.010547202999987348,0.0725360224020198,0.004548556814848077,0.004236115830146475,-0.0003718871720302543,-0.0002617959939387068
83.0,0.010590128000103505,0.07116482123872901,0.0045893818864616315,0.004253775727183068,-0.0003270261631657384,-0.00021362619505372254
84.0,0.009357190999935483,0.06958049501790471,0.004597189586008403,0.004220387299428848,-0.000287222771215597,-0.00017068247217045683
85.0,0.01043989100003273,0.06857804650691023,0.004586901855685588,0.004161300739265397,-0.0002431623878316373,-0.00012268831398604352
86.0,0.009633241000074122,0.067449659677873,0.004557356941575202,0.004083464009013778,-0.00020307557493650714,-7.850158296653704e-05
87.0,0.010537481000028492,0.06641902295508229,0.004505079426250798,0.003968680868916773,-0.00016004615052722426,-3.0478520784340384e-05
88.0,0.009189749999904961,0.06550637633950226,0.004444165522210366,0.0038516809122626184,-0.0001235749655124735,1.0922032872619728e-05
89.0,0.00995166000006975,0.06474214463497543,0.0043644551529799375,0.0037050273229945283,-8.524434664487745e-05,5.514885713368972e-05
90.0,0.011154245999932755,0.06409766961287137,0.00426269000033401,0.0035319103585204586,-4.3917560447724165e-05,0.00010383106356570209
91.0,0.009044604999871808,0.06332121048378919,0.004167272230386253,0.003373247160075458,-1.1972826359950994e-05,0.00014238541085562662
92.0,0.01005095400000755,0.06288670328790871,0.004053797084813075,0.0031875412345692164,2.193152567662354e-05,0.00018427047234874773
93.0,0.011230503999968278,0.06254017044629816,0.0039209598310045,0.0029827550134134064,5.772922026151695e-05,0.0002297966567248007
94.0,0.008525190000000293,0.062029304407475616,0.0038122227192032344,0.0028149262974639182,8.315777347431966e-05,0.0002632235842664831
95.0,0.010475629999973535,0.06185563346104912,0.003676106339438341,0.002606644842868759,0.0001126458998437471,0.0003031590189503492
96.0,0.010612534999836498,0.061754116197194606,0.003537408055307873,0.002407760412160518,0.00014030900947083511,0.00034217182614075943
97.0,0.009380042999964644,0.06145011375349477,0.003409797413505287,0.0022204050668054955,0.00016289390567051336,0.0003753528658079686
98.0,0.009409967999999935,0.06148107583749479,0.003283138884807925,0.00203883358651057,0.0001837878462961908,0.0004074389503555359
99.0,0.010742513999957737,0.06151653440404013,0.0031402688742332707,0.0018407513307988203,0.00020569004464286465,0.00044270811578939065
100.0,0.019083077000004778,0.061506005670802985,0.0028886520472649105,0.0015032833486260243,0.0002408172440263598,0.0005026341085171025
