tick,tick_dt,input_force,output_position,output_ang_vel,output_speed,output_angle
162.0,0.005864601000013181,-0.0004228639746002438,-5.001529747026544e-07,-6.233828532608831e-06,-4.949252324519903e-06,5.917835225548007e-07
163.0,0.009463909000004378,-9.759625221643234e-05,-5.469922483199709e-07,-5.775513876340728e-06,-3.7926899863144487e-06,5.327871366005598e-07
164.0,0.01081374099999266,-9.759625221643234e-05,-5.880054155252411e-07,-1.7561439951129608e-07,-5.941432515491351e-06,4.7033222539994755e-07
165.0,0.0097634090000156,-0.00029972341482316665,-6.460140512199746e-07,-2.515071853798954e-06,-3.2543003066092415e-06,4.6861763019122664e-07
166.0,0.0038378270000123393,-0.00029972341482316665,-6.58503492802828e-07,5.302507850351536e-06,1.6327602186059027e-07,4.5896521952374594e-07
167.0,0.007754209000012224,-0.0002398937189701614,-6.572374164046304e-07,1.6044551819291353e-05,7.553281382982877e-06,5.000819736195773e-07
168.0,0.00911059500000988,-0.0002398937189701614,-5.884225288031589e-07,8.934027844589879e-06,3.2058340963987686e-06,6.462573872018126e-07
169.0,0.00931889099999239,-0.00025301608624136003,-5.585477102947597e-07,1.5179701777107361e-05,-1.5467507017579445e-06,7.295126188764426e-07
170.0,0.004884027999992213,-0.00025301608624136003,-5.661020840311531e-07,-3.783184215831768e-06,-3.842298526058677e-06,8.036507073873664e-07
171.0,0.009740316000005578,-0.00015737379795112923,-6.035272858413203e-07,-1.7016895411110622e-05,-6.759094256507996e-06,7.668012976389317e-07
172.0,0.005428878999993003,-0.00015737379795112923,-6.402215907094499e-07,-6.108381207112126e-06,-6.214040319594636e-06,6.74418631496476e-07
173.0,0.011672201999999743,-0.00016490017733652036,-7.127531245559015e-07,-2.389940527385167e-06,-7.397757918236488e-06,6.03120372154061e-07
174.0,0.008088856000000533,-0.00016490017733652036,-7.725925230793801e-07,-6.632694986694519e-06,-6.111740418378893e-06,5.837884873794771e-07
