tick,tick_dt,input_force,output_ang_vel,output_angle,output_speed,output_position
101.0,0.008875573999944208,-1.6374901645834962e-05,5.983523742148731e-07,-9.312637615034947e-08,2.3040093299036372e-07,-3.1721387686861635e-08
102.0,0.005914017999998578,-1.6374901645834962e-05,-3.965645433985869e-07,-8.958770943890083e-08,1.6618293185768455e-08,-3.035879242194016e-08
103.0,0.010213092999947548,2.0966822424888963e-05,-4.271516582780091e-06,-9.363786000111233e-08,4.348122730681801e-07,-3.018906824813351e-08
104.0,0.009967536999965887,2.0966822424888963e-05,6.535744452652394e-06,-1.3621435958594074e-07,7.658895197992853e-07,-2.5855060828287157e-08
105.0,0.009008684999912475,-0.0001469399743320662,6.583457294061532e-07,-7.733589657206995e-08,2.8064964762420733e-07,-1.8955403399681164e-08
106.0,0.005869982000035634,-0.0001469399743320662,-2.5916396526598193e-06,-7.34714189906555e-08,-1.1814063974765463e-06,-1.7307995019810724e-08
107.0,0.011639204000061909,3.9984406889153855e-05,-4.83099369152454e-06,-1.0363604160261273e-07,7.212742640518066e-07,-3.105862508701847e-08
108.0,0.008065536999993128,3.9984406889153855e-05,7.182611109363949e-06,-1.426005999683373e-07,1.2800976186199327e-06,-2.524116082316581e-08
109.0,0.009720870000023751,-0.00014625358672708705,-2.807825468492827e-06,-7.277937111348397e-08,-1.208773288749739e-06,-1.2797498285221463e-08
110.0,0.010389758999963306,-0.00014625358672708705,-5.511255968633669e-06,-1.019520010450835e-07,-3.2655951104076075e-06,-2.535636144092431e-08
111.0,0.009484184999905665,5.1952416187289445e-05,-2.8412458206735265e-06,-1.542217722334395e-07,-1.3800616324927882e-06,-5.632786960281742e-08
112.0,0.005049352000014551,5.1952416187289445e-05,-1.347949071668082e-06,-1.6856822250059037e-07,-5.79177198955848e-07,-6.329628656698823e-08
113.0,0.010621277999916856,3.4408337342504543e-05,1.206667189356672e-06,-1.8288516432050692e-07,9.64319011689902e-07,-6.944788860831145e-08
114.0,0.010644684999988385,3.4408337342504543e-05,1.0915121027592114e-05,-1.7004057218998382e-07,1.618439686910399e-06,-5.918301648937232e-08
115.0,0.008726537000029566,-0.00024082732990445688,-2.3026476275415974e-06,-7.47893646829005e-08,-1.0122236956917618e-06,-4.505964267923246e-08
116.0,0.004787629000020388,-0.00024082732990445688,-4.853379013079926e-06,-8.581358724134679e-08,-2.135068997129169e-06,-4.990579419923415e-08
117.0,0.011131167000030473,7.054241758219464e-05,-3.6404686592593844e-06,-1.3983735955038254e-07,1.8943052483144754e-06,-7.367160376286651e-08
118.0,0.009537685000054807,7.054241758219464e-05,1.1399800209454694e-05,-1.745590028749704e-07,3.126198713026455e-06,-5.5604317010492447e-08
119.0,0.009831017999999858,-0.00019948557695492565,-1.5629407137777402e-07,-6.248736181941915e-08,-7.37687968614618e-07,-2.4870601191152976e-08
120.0,0.004692370000043411,-0.00019948557695492565,-1.8588340304113902e-06,-6.322075143113686e-08,-7.223617562795312e-07,-2.8332106084473176e-08
121.0,0.010521593000021312,3.3542139894889616e-05,-2.6713083674956122e-06,-8.277864655371474e-08,2.3370314119110372e-06,-3.593250248282699e-08
122.0,0.009827111000049626,3.3542139894889616e-05,1.1212290047164404e-05,-1.0902989039645548e-07,2.888554336866005e-06,-1.2966235387374528e-08
123.0,0.009403184999996483,-0.0002079846516387179,-6.625270500686841e-07,-3.598652809349298e-09,-9.595194840192175e-07,1.4195375424718678e-08
124.0,0.005731315000048198,-0.0002079846516387179,1.6822188663007138e-06,-7.395804029345631e-09,8.439264530180959e-07,8.696067013120829e-09
125.0,0.010388555000076849,-1.677736010403236e-05,1.4082820241620575e-07,1.0080019185386257e-08,3.89719809612945e-06,1.7463243386319088e-08
126.0,0.008919777999949474,-1.677736010403236e-05,1.0857181623636281e-05,1.1336175487070761e-08,3.5175995288365636e-06,5.2225385225619534e-08
127.0,0.006481019000034394,-0.00018542261941899464,8.30536256216571e-07,8.170177587668176e-08,3.2945446743227223e-07,7.502301460652134e-08
128.0,0.009434814999963237,-0.00018542261941899464,-9.25847230717047e-06,8.953773180484718e-08,-3.5249923888318677e-06,7.813135655765625e-08
129.0,0.011457277999966209,0.00013436231162777235,2.81731159853291e-06,-1.6539159273393444e-08,-5.25031839599415e-07,3.774453881104455e-08
130.0,0.008303055000055792,0.00013436231162777235,2.794555626728466e-06,6.853133881520411e-09,1.3289827159973372e-06,3.338517057007014e-08
131.0,0.009433907000016006,-3.169716991754475e-05,-1.6952776822942142e-06,3.321671177044821e-08,6.801178826715251e-07,4.59226699174177e-08
132.0,0.0110563700000057,-3.169716991754475e-05,9.325665315327196e-07,1.4473094462251264e-08,-5.1420711838836155e-08,5.344230487185455e-08
133.0,0.008910073999913948,-2.7530523279933438e-05,-2.3517886198260795e-07,2.278233126805088e-08,-5.362877305879185e-07,5.298414252424227e-08
134.0,0.004748037000013028,-2.7530523279933438e-05,-2.166059332899432e-06,2.16656933297365e-08,-7.945809717671919e-07,5.0437828536757813e-08
135.0,0.010594869999977163,3.4286192098883584e-05,-2.580177356003607e-06,-1.2834237145702373e-09,-7.294114670564212e-08,4.2019346436428894e-08
136.0,0.010365296000031776,3.4286192098883584e-05,7.91088837794596e-06,-2.802772574212699e-08,5.596006760264352e-07,4.1263289860243174e-08
137.0,0.00990629699992951,-0.00020322715716950094,-4.5918514474218815e-06,5.0339884063096294e-08,-2.637431044790702e-06,4.680686035832237e-08
138.0,0.004823906999945393,-0.00020322715716950094,1.4835025740417224e-06,2.8189219723168493e-08,7.40644389024759e-07,3.408413827948321e-08
139.0,0.010417296000014176,-1.752346910544494e-05,8.351272124825008e-06,4.364330515374406e-08,7.034253350569562e-06,4.1799650110703776e-08
140.0,0.00968012999999246,-1.752346910544494e-05,1.748625343262224e-05,1.2448470498736341e-07,6.625277528836895e-06,1.0989213699709966e-07
141.0,0.009907036999948104,-0.0002749566729792896,2.9969462431664227e-06,2.977216647348215e-07,1.2624313109156933e-06,1.7552900661021151e-07
142.0,0.009726054999987355,-0.0002749566729792896,-2.697479546007773e-06,3.268701287278636e-07,-1.1595285106289386e-06,1.8780748297388369e-07
143.0,0.010498795999978938,8.169102704881786e-06,1.6778359202186771e-06,2.985498412602122e-07,7.487441888958672e-07,1.7563382968463104e-07
144.0,0.009041389000003619,8.169102704881786e-06,1.4366089136218208e-06,3.137198084930883e-07,6.260274140088746e-07,1.8240351715793077e-07
145.0,0.010292055999912009,-4.564613313362373e-05,-1.5681830265758398e-06,3.2850546788205685e-07,-3.073507011879078e-07,1.888466263603902e-07
146.0,0.010711148999916986,-4.564613313362373e-05,-1.004614228568789e-06,3.117084258252623e-07,-1.2837688487398466e-06,1.8555454720473755e-07
147.0,0.009571833999984847,-4.3712358294857804e-05,-2.03135533932423e-06,3.02092425195379e-07,-1.070209036481496e-06,1.7326652489024807e-07
148.0,0.004879814999981136,-4.3712358294857804e-05,-1.6889343183074952e-06,2.921797869402528e-07,-8.617177738720373e-07,1.6804410278091032e-07
149.0,0.010016075000066849,-7.280748011693538e-06,-5.562791465196636e-07,2.7526329413789816e-07,1.9775051616824036e-07,1.5941307292891734e-07
150.0,0.010209056000007877,-7.280748011693538e-06,-7.981021290230901e-07,2.695842091794423e-07,4.989746442993483e-08,1.6143191902250938e-07
151.0,0.00939005600002929,2.2462675772713025e-06,1.5684806156467225e-05,2.620899854941729e-07,-1.6015108649228688e-08,1.6190045900776593e-07
152.0,0.0049289449999605495,2.2462675772713025e-06,-3.538467793294136e-06,3.3939953237444243e-07,5.989884905590818e-08,1.6182152141806549e-07
153.0,0.01025744499997927,7.375203056135916e-05,-1.3443171367745552e-05,3.0310389360052984e-07,1.5682939972500653e-06,1.624359305678185e-07
154.0,0.009871778000047016,7.375203056135916e-05,9.212881608252704e-06,1.7039589024155734e-07,2.8617164241838865e-06,1.779177807474775e-07
155.0,0.009887796000043636,-0.00017319076314620236,3.4905020680855615e-06,2.61490984156514e-07,-5.338109983394168e-07,2.062138489597821e-07
156.0,0.005702518000020973,-0.00017319076314620236,1.4724332578183836e-07,2.8139563502888235e-07,-1.3870803954702535e-07,2.0316978213314242e-07
157.0,0.010886759999948481,-3.0982514549147e-05,-4.032538978918494e-06,2.8299863777826347e-07,1.3390656187192009e-06,2.016597009965306e-07
158.0,0.008931649000032849,-3.0982514549147e-05,7.658742635799154e-06,2.469814150396126e-07,7.032955224301817e-07,2.1361976509094233e-07
159.0,0.010175092999929802,-0.00021341520342314725,-1.0079769237159611e-06,3.249098336213965e-07,-7.645583139494727e-07,2.2077586243810365e-07
160.0,0.009970610999971541,-0.00021341520342314725,-5.093741340307692e-06,3.1485968781807663e-07,-2.8807411341264147e-06,2.1315274890291935e-07
161.0,0.009673685999928239,1.8093494104629503e-05,2.2603278031806344e-06,2.655844335270864e-07,6.713035741447553e-07,1.8528536372430325e-07
162.0,0.0052275920000965925,1.8093494104629503e-05,2.407493226872058e-07,2.7740050506858935e-07,-2.2495582950017296e-07,1.8879466491813863e-07
163.0,0.010458944999982123,-3.716884062118364e-05,-8.177094100395283e-06,2.799184889933578e-07,-5.878647306068429e-07,1.8644186426997095e-07
164.0,0.010307092000061857,-3.716884062118364e-05,6.24573592409676e-06,1.9563642780742056e-07,-1.463916124762764e-06,1.8038268840801465e-07
165.0,0.009127945000045656,-0.0002468419877611059,8.523345788258951e-07,2.5264716180738514e-07,5.998047484427434e-09,1.6702014253650017e-07
166.0,0.009902517999989868,-0.0002468419877611059,-4.814104221204224e-06,2.6108742031622236e-07,-2.565307839354205e-06,1.670795383096795e-07
167.0,0.011075851999976294,2.51521154958527e-05,-1.412572088490539e-06,2.0776711444970324e-07,-1.3929986962153274e-06,1.3866656834661337e-07
168.0,0.008880703999921025,2.51521154958527e-05,-5.021502852947251e-08,1.952224798532685e-07,-1.0300299458589509e-06,1.2629575925324915e-07
169.0,0.009826296000028378,-5.1763384007808535e-05,-4.03719631244841e-06,1.9472905211928805e-07,-2.0374214405442594e-06,1.1617438011634589e-07
170.0,0.010348722999992788,-5.1763384007808535e-05,-3.2138571610026895e-06,1.5294922578516711e-07,-2.2005579178797266e-06,9.508966999390707e-08
171.0,0.00987774099996841,6.925553815217771e-07,-1.4999698506051971e-06,1.2120357713788876e-07,-1.2613589802342764e-06,7.335312882566138e-08
172.0,0.004731314999958158,6.925553815217771e-07,2.976285904376975e-06,1.1410674728423539e-07,8.366971335894485e-07,6.738524216214702e-08
173.0,0.010888166999961868,-6.556322788626216e-05,7.716025675341319e-06,1.4651304525072444e-07,2.7951802914911894e-06,7.649534028105834e-08
174.0,0.010546093000016299,-6.556322788626216e-05,1.0105083494608858e-05,2.2788696961338757e-07,1.390663410379712e-06,1.0597357158693709e-07
175.0,0.008817370000087976,-0.00026329523515978333,-2.5046199535787738e-06,3.169872296671359e-07,-2.893650119285559e-06,1.182355654218392e-07
176.0,0.0045844079999142195,-0.00026329523515978333,-2.7626005937328118e-06,3.055050299152046e-07,-1.8354807634073788e-06,1.0496989266603374e-07
177.0,0.006806833000041479,-1.6663506745157988e-05,-5.627074377043521e-06,2.867004690278499e-07,-3.090515132110024e-07,9.247608163473108e-08
178.0,0.009376258999964193,-1.6663506745157988e-05,5.146311980097037e-06,2.339395622566277e-07,-7.104479816179075e-07,8.957833460253386e-08
179.0,0.014416037000046344,-0.00019743294575282286,-5.943002757873804e-06,3.0812898617548836e-07,-3.629420998193071e-06,7.933649021292186e-08
180.0,0.004873074000101951,-0.00019743294575282286,-7.1907732412546686e-06,2.7916829395355934e-07,-4.274085460573648e-06,6.165005311120312e-08
181.0,0.009972202999961155,2.3888247130887625e-05,-1.0485281357666371e-05,2.0746044346507913e-07,-5.436952417619566e-07,1.9028005259180238e-08
182.0,0.01031414900000982,2.3888247130887625e-05,-9.683688809586111e-06,9.931368923508293e-08,-5.359333640835172e-08,1.3420251525051055e-08
